Layer,Peak_Force_N,Work_of_Adhesion_mJ
1,1.4116,0.4361
2,0.3708,0.0851
3,0.2907,0.0713
4,0.2061,0.0518
5,0.1581,0.0389
6,0.1441,0.0337
7,0.1341,0.0286
8,0.1313,0.0273
9,0.1336,0.0257
10,0.1287,0.0245
11,0.1326,0.0244
12,0.1281,0.0232
13,0.1247,0.0226
14,0.1190,0.0209
15,0.1166,0.0204
16,0.1050,0.0190
17,0.0784,0.0154
18,0.0571,0.0124
19,0.0393,0.0104
20,0.0295,0.0091
