Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0299,0.0341,6.7202,0.9869,7.7072,3.7632,-0.0404
2,0.0218,0.0257,6.5751,0.5505,7.1256,3.6756,-0.0395
3,0.0209,0.0232,6.1128,0.7356,6.8485,3.3923,-0.0392
4,0.0359,0.0332,7.2675,0.7430,8.0105,4.0881,-0.0387
5,0.0529,0.0453,7.9848,0.7133,8.6980,4.5127,-0.0383
6,0.0731,0.0666,8.8369,0.7827,9.6196,5.0249,-0.0378
7,0.0939,0.0834,9.5806,0.5278,10.1083,5.4769,-0.0376
8,0.1031,0.0916,9.9380,0.5069,10.4449,5.6825,-0.0373
9,0.1119,0.0968,10.0914,0.4897,10.5810,5.7792,-0.0369
10,0.1317,0.2079,11.1867,6.4689,17.6557,5.9933,-0.0360
11,0.1326,0.1038,10.8559,0.7934,11.6493,6.0050,-0.0357
12,0.0648,0.0669,9.3013,1.2994,10.6007,5.2984,-0.0348
13,0.0638,0.0663,9.4244,1.2434,10.6678,5.3850,-0.0344
14,0.0065,0.0158,6.3280,0.0000,6.3280,3.5247,-0.0340
15,0.0066,0.0159,6.2260,0.0000,6.2260,3.4651,-0.0336
16,0.0066,0.0157,5.9492,0.0000,5.9492,3.3003,-0.0337
