Layer	File	Thickness	Time	Intensity	Step Speed	Overstep Distance	Step Type	Pause
1	1.png	50	15	30	3000	6000	1000	3
2	2.png	50	1	30	3000	6000	1000	3
3	3.png	50	1	30	3000	6000	1000	3
4	4.png	50	1	30	3000	6000	1000	3
5	5.png	50	1	30	3000	6000	1000	3
6	6.png	50	1	30	3000	6000	1000	3
7	7.png	50	1	30	3000	6000	1000	3
8	8.png	50	1	30	3000	6000	1000	3
9	9.png	50	1	30	3000	6000	1000	3
10	10.png	50	1	30	3000	6000	1000	3
11	11.png	50	1	30	3000	6000	1000	3
12	12.png	50	1	30	3000	6000	1000	3
13	13.png	50	1	30	3000	6000	1000	3
14	14.png	50	1	30	3000	6000	1000	3
15	15.png	50	1	30	3000	6000	1000	3
16	16.png	50	1	30	3000	6000	1000	3
17	17.png	50	1	30	3000	6000	1000	3
18	18.png	50	1	30	3000	6000	1000	3
19	19.png	50	1	30	3000	6000	1000	3
20	20.png	50	1	30	3000	6000	1000	3
21	21.png	50	1	30	3000	6000	1000	3
22	22.png	50	1	30	3000	6000	1000	3
23	23.png	50	1	30	3000	6000	1000	3
24	24.png	50	1	30	3000	6000	1000	3
25	25.png	50	1	30	3000	6000	1000	3
26	26.png	50	1	30	3000	6000	1000	3
27	27.png	50	1	30	3000	6000	1000	3
28	28.png	50	1	30	3000	6000	1000	3
29	29.png	50	1	30	3000	6000	1000	3
30	30.png	50	1	30	3000	6000	1000	3
31	31.png	50	1	30	3000	6000	1000	3
32	32.png	50	1	30	3000	6000	1000	3
33	33.png	50	1	30	3000	6000	1000	3
34	34.png	50	1	30	3000	6000	1000	3
35	35.png	50	1	30	3000	6000	1000	3
36	36.png	50	1	30	3000	6000	1000	3
37	37.png	50	1	30	3000	6000	1000	3
38	38.png	50	1	30	3000	6000	1000	3
39	39.png	50	1	30	3000	6000	1000	3
40	40.png	50	1	30	3000	6000	1000	3
41	41.png	50	1	30	3000	6000	1000	3
42	42.png	50	1	30	3000	6000	1000	3
43	43.png	50	1	30	3000	6000	1000	3
44	44.png	50	1	30	3000	6000	1000	3
45	45.png	50	1	30	3000	6000	1000	3
46	46.png	50	1	30	3000	6000	1000	3
47	47.png	50	1	30	3000	6000	1000	3
48	48.png	50	1	30	3000	6000	1000	3
49	49.png	50	1	30	3000	6000	1000	3
50	50.png	50	1	30	3000	6000	1000	3
51	51.png	50	1	30	3000	6000	1000	3
52	52.png	50	1	30	3000	6000	1000	3
53	53.png	50	1	30	3000	6000	1000	3
54	54.png	50	1	30	3000	6000	1000	3
55	55.png	50	1	30	3000	6000	1000	3
56	56.png	50	1	30	3000	6000	1000	3
57	57.png	50	1	30	3000	6000	1000	3
58	58.png	50	1	30	3000	6000	1000	3
59	59.png	50	1	30	3000	6000	1000	3
60	60.png	50	1	30	3000	6000	1000	3
61	61.png	50	1	30	3000	6000	1000	3
62	62.png	50	1	30	3000	6000	1000	3
63	63.png	50	1	30	3000	6000	1000	3
64	64.png	50	1	30	3000	6000	1000	3
65	65.png	50	1	30	3000	6000	1000	3
66	66.png	50	1	30	3000	6000	1000	3
67	67.png	50	1	30	3000	6000	1000	3
68	68.png	50	1	30	3000	6000	1000	3
69	69.png	50	1	30	3000	6000	1000	3
70	70.png	50	1	30	3000	6000	1000	3
71	71.png	50	1	30	3000	6000	1000	3
72	72.png	50	1	30	3000	6000	1000	3
73	73.png	50	1	30	3000	6000	1000	3
74	74.png	50	1	30	3000	6000	1000	3
75	75.png	50	1	30	3000	6000	1000	3
76	76.png	50	1	30	3000	6000	1000	3
77	77.png	50	1	30	3000	6000	1000	3
78	78.png	50	1	30	3000	6000	1000	3
79	79.png	50	1	30	3000	6000	1000	3
80	80.png	50	1	30	3000	6000	1000	3
81	81.png	50	1	30	3000	6000	1000	3
82	82.png	50	1	30	3000	6000	1000	3
83	83.png	50	1	30	3000	6000	1000	3
84	84.png	50	1	30	3000	6000	1000	3
85	85.png	50	1	30	3000	6000	1000	3
86	86.png	50	1	30	3000	6000	1000	3
87	87.png	50	1	30	3000	6000	1000	3
88	88.png	50	1	30	3000	6000	1000	3
89	89.png	50	1	30	3000	6000	1000	3
90	90.png	50	1	30	3000	6000	1000	3
91	91.png	50	1	30	3000	6000	1000	3
92	92.png	50	1	30	3000	6000	1000	3
93	93.png	50	1	30	3000	6000	1000	3
94	94.png	50	1	30	3000	6000	1000	3
95	95.png	50	1	30	3000	6000	1000	3
96	96.png	50	1	30	3000	6000	1000	3
97	97.png	50	1	30	3000	6000	1000	3
98	98.png	50	1	30	3000	6000	1000	3
99	99.png	50	1	30	3000	6000	1000	3
100	100.png	50	1	30	3000	6000	1000	3
101	101.png	50	1	30	3000	6000	1000	3
102	102.png	50	1	30	3000	6000	1000	3
103	103.png	50	1	30	3000	6000	1000	3
104	104.png	50	1	30	3000	6000	1000	3
105	105.png	50	1	30	3000	6000	1000	3
106	106.png	50	1	30	3000	6000	1000	3
107	107.png	50	1	30	3000	6000	1000	3
108	108.png	50	1	30	3000	6000	1000	3
109	109.png	50	1	30	3000	6000	1000	3
110	110.png	50	1	30	3000	6000	1000	3
111	111.png	50	1	30	3000	6000	1000	3
112	112.png	50	1	30	3000	6000	1000	3
113	113.png	50	1	30	3000	6000	1000	3
114	114.png	50	1	30	3000	6000	1000	3
115	115.png	50	1	30	3000	6000	1000	3
116	116.png	50	1	30	3000	6000	1000	3
117	117.png	50	1	30	3000	6000	1000	3
118	118.png	50	1	30	3000	6000	1000	3
119	119.png	50	1	30	3000	6000	1000	3
120	120.png	50	1	30	3000	6000	1000	3
121	121.png	50	1	30	3000	6000	1000	3
122	122.png	50	1	30	3000	6000	1000	3
123	123.png	50	1	30	3000	6000	1000	3
124	124.png	50	1	30	3000	6000	1000	3
125	125.png	50	1	30	3000	6000	1000	3
126	126.png	50	1	30	3000	6000	1000	3
127	127.png	50	1	30	3000	6000	1000	3
128	128.png	50	1	30	3000	6000	1000	3
129	129.png	50	1	30	3000	6000	1000	3
130	130.png	50	1	30	3000	6000	1000	3
131	131.png	50	1	30	3000	6000	1000	3
132	132.png	50	1	30	3000	6000	1000	3
133	133.png	50	1	30	3000	6000	1000	3
134	134.png	50	1	30	3000	6000	1000	3
135	135.png	50	1	30	3000	6000	1000	3
136	136.png	50	1	30	3000	6000	1000	3
137	137.png	50	1	30	3000	6000	1000	3
138	138.png	50	1	30	3000	6000	1000	3
139	139.png	50	1	30	3000	6000	1000	3
140	140.png	50	1	30	3000	6000	1000	3
141	141.png	50	1	30	3000	6000	1000	3
142	142.png	50	1	30	3000	6000	1000	3
