Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
82,0.1680,0.1251,0.2388,0.0710,0.3099,2.0274,-0.0508
83,0.1764,0.1495,0.2230,0.0800,0.3030,1.8906,-0.0520
84,0.1716,0.1416,0.2404,0.0639,0.3043,2.0747,-0.1233
85,0.1716,0.1371,0.2970,0.0649,0.3619,2.0770,-0.1450
86,0.1752,0.1465,0.2399,0.0803,0.3202,2.1060,-0.1450
87,0.1764,0.1512,0.2378,0.0800,0.3178,2.0318,-0.1317
88,0.1764,0.1434,0.2227,0.0960,0.3186,1.8778,-0.0834
89,0.1740,0.1316,0.2241,0.0799,0.3041,1.9246,-0.1462
90,0.1813,0.1567,0.2470,0.0798,0.3268,2.0990,-0.1353
91,0.1801,0.1495,0.2239,0.0811,0.3051,1.9323,-0.1245
92,0.1789,0.1427,0.2387,0.0802,0.3189,1.9818,-0.1317
93,0.1752,0.1429,0.2399,0.0799,0.3198,2.0019,-0.1293
94,0.1752,0.1523,0.2472,0.0477,0.2949,2.1860,-0.0834
95,0.1813,0.1473,0.2405,0.0644,0.3049,2.1337,-0.0858
96,0.1801,0.1502,0.2564,0.0493,0.3058,2.3372,-0.0640
97,0.1776,0.1442,0.2399,0.0481,0.2880,2.1437,-0.1027
98,0.1825,0.1545,0.2557,0.0480,0.3038,2.2038,-0.1196
99,0.1837,0.1450,0.2389,0.0638,0.3027,2.1619,-0.0955
100,0.1837,0.1585,0.2382,0.0640,0.3021,2.0909,-0.0713
101,0.1837,0.1432,0.2245,0.0809,0.3054,1.9421,-0.0967
102,0.1801,0.1388,0.2397,0.0631,0.3028,2.1296,-0.1511
103,0.1813,0.1452,0.2400,0.0648,0.3049,2.2185,-0.1221
104,0.1789,0.1501,0.2393,0.0629,0.3022,2.1380,-0.1015
105,0.1813,0.1649,0.2403,0.0890,0.3293,2.0429,-0.1414
106,0.1813,0.1564,0.2366,0.0794,0.3160,2.1771,-0.1559
107,0.1752,0.1545,0.2558,0.0484,0.3042,2.4083,-0.0592
108,0.1897,0.1443,0.2244,0.0632,0.2876,2.0344,-0.1366
109,0.1813,0.1557,0.2451,0.0646,0.3097,2.1744,-0.1196
