Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0246,0.0188,4.7409,0.5418,5.2827,3.6708,-0.0328
2,0.0073,0.0065,3.1266,0.0000,3.1266,2.2287,-0.0326
3,0.0072,0.0063,3.2123,0.0000,3.2123,2.3063,-0.0322
4,0.0073,0.0064,3.0349,0.0000,3.0349,2.1325,-0.0319
5,0.0073,0.0064,3.2405,0.0000,3.2405,2.3235,-0.0315
6,0.0075,0.0067,3.1028,0.0000,3.1028,2.2069,-0.0311
7,0.0075,0.0068,3.1070,0.0000,3.1070,2.1978,-0.0307
8,0.0074,0.0066,2.9736,0.0000,2.9736,2.0853,-0.0304
9,0.0075,0.0065,3.1494,0.0000,3.1494,2.2406,-0.0300
10,0.0074,0.0067,3.1645,0.0000,3.1645,2.2544,-0.0297
11,0.0074,0.0069,2.9266,0.0000,2.9266,2.0399,-0.0294
12,0.0076,0.0065,3.0389,0.0000,3.0389,2.1431,-0.0291
13,0.0076,0.0067,3.0726,0.0000,3.0726,2.1735,-0.0287
14,0.0075,0.0069,3.1154,0.0000,3.1154,2.2190,-0.0282
15,0.0076,0.0068,3.1018,0.0000,3.1018,2.2032,-0.0281
16,0.0076,0.0069,2.9868,0.0000,2.9868,2.1055,-0.0278
17,0.0075,0.0069,2.9615,0.0000,2.9615,2.0399,-0.0276
18,0.0076,0.0069,2.9887,0.0000,2.9887,2.0939,-0.0272
19,0.0076,0.0069,2.9656,0.0000,2.9656,2.0789,-0.0269
20,0.0076,0.0069,3.0645,0.0000,3.0645,2.1664,-0.0266
21,0.0076,0.0079,3.0510,0.0000,3.0510,2.1636,-0.0915
