Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
330,0.0174,0.0671,5.9116,NaN,NaN,1.1491,0.0000
331,0.0174,0.0670,7.1510,NaN,NaN,1.3997,0.0000
332,0.0174,0.0669,7.7681,NaN,NaN,1.5264,0.0000
333,0.0174,0.0668,5.7929,NaN,NaN,1.1208,0.0000
334,0.0173,0.0667,7.4743,NaN,NaN,1.4645,0.0000
335,0.0173,0.0665,6.7739,NaN,NaN,1.3212,0.0000
336,0.0173,0.0660,6.7181,NaN,NaN,1.3082,0.0000
337,0.0172,0.0658,6.8512,NaN,NaN,1.3339,0.0000
338,0.0173,0.0656,5.7156,NaN,NaN,1.1145,0.0000
339,0.0172,0.0650,6.2258,NaN,NaN,1.2160,0.0000
340,0.0171,0.0648,6.7910,NaN,NaN,1.3278,0.0000
341,0.0171,0.0647,5.4054,NaN,NaN,1.0521,0.0000
342,0.0171,0.0646,5.4693,NaN,NaN,1.0636,0.0000
343,0.0171,0.0645,5.7861,NaN,NaN,1.1302,0.0000
344,0.0171,0.0643,5.2216,NaN,NaN,1.0117,0.0000
345,0.0171,0.0642,4.8492,NaN,NaN,0.9332,0.0000
346,0.0171,0.0641,4.0322,NaN,NaN,0.7693,0.0000
347,0.0170,0.0639,4.4193,NaN,NaN,0.8565,0.0000
348,0.0170,0.0638,4.4165,NaN,NaN,0.8472,0.0000
349,0.0170,0.0637,4.2899,NaN,NaN,0.8262,0.0000
350,0.0169,0.0635,2.9889,NaN,NaN,0.5672,0.0000
351,0.0169,0.0634,2.8048,NaN,NaN,0.5308,0.0000
352,0.0169,0.0633,2.9233,NaN,NaN,0.5591,0.0000
353,0.0169,0.0633,1.9261,NaN,NaN,0.3577,0.0000
354,0.0169,0.0632,3.6724,NaN,NaN,0.7049,0.0000
355,0.0156,0.0617,0.5593,NaN,NaN,0.0815,0.0000
356,0.0155,0.0618,30.2406,NaN,NaN,2.2449,0.0000
357,0.0156,0.0619,41.4938,NaN,NaN,0.0501,0.0000
358,0.0156,0.0620,39.6901,NaN,NaN,0.2580,0.0000
359,0.0156,0.0621,37.8299,NaN,NaN,0.7104,0.0000
360,0.0157,0.0623,0.3726,NaN,NaN,0.0349,0.0000
361,0.0157,0.0623,19.0579,NaN,NaN,3.7837,0.0000
362,0.0157,0.0624,40.7191,NaN,NaN,0.1747,0.0000
363,0.0157,0.0625,17.2351,NaN,NaN,3.4192,0.0000
364,0.0157,0.0625,41.0370,NaN,NaN,0.0501,0.0000
365,0.0158,0.0626,41.1409,NaN,NaN,0.0500,0.0000
366,0.0158,0.0627,19.1625,NaN,NaN,3.8005,0.0000
367,0.0158,0.0628,35.6123,NaN,NaN,1.0883,0.0000
368,0.0158,0.0629,38.0921,NaN,NaN,0.6062,0.0000
369,0.0159,0.0630,41.2661,NaN,NaN,0.0517,0.0000
370,0.0159,0.0631,0.4349,NaN,NaN,0.0500,0.0000
371,0.0159,0.0633,0.6251,NaN,NaN,0.0979,0.0000
372,0.0160,0.0634,41.1165,NaN,NaN,0.0500,0.0000
373,0.0160,0.0636,38.9660,NaN,NaN,0.4275,0.0000
374,0.0161,0.0638,41.0726,NaN,NaN,0.0500,0.0000
375,0.0161,0.0640,34.4312,NaN,NaN,1.3350,0.0000
376,0.0162,0.0643,40.9524,NaN,NaN,0.0500,0.0000
377,0.0162,0.0644,35.5245,NaN,NaN,1.0933,0.0000
378,0.0162,0.0646,0.6248,NaN,NaN,0.0931,0.0000
