Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1381,0.0620,31.2261,168.2813,199.5074,0.7787,-0.1227
2,0.1663,0.0591,32.8118,167.0203,199.8321,0.8182,-0.0974
3,0.1880,0.0645,16.1790,79.9963,96.1753,0.8050,-0.0970
4,0.1419,0.0548,13.9991,82.5249,96.5240,0.6966,-0.0742
5,0.1769,0.0598,14.8996,83.2583,98.1579,0.7412,-0.0585
6,0.1816,0.0591,14.4644,84.0127,98.4772,0.7193,-0.0470
7,0.2642,0.0758,10.8085,52.7608,63.5692,0.8043,-0.0543
8,0.2579,0.0768,11.1857,53.2694,64.4550,0.8315,-0.0500
9,0.2775,0.0800,11.4011,53.4986,64.8997,0.8478,-0.0450
10,0.2892,0.0812,11.4320,53.5089,64.9409,0.8508,-0.0411
11,0.3829,0.0990,9.0779,39.4769,48.5548,0.8957,-0.0384
12,0.4101,0.1052,9.3085,39.5256,48.8341,0.9206,-0.0343
13,0.4724,0.1188,9.5581,40.0140,49.5721,0.9437,-0.0306
14,0.5757,0.1418,8.0096,30.7835,38.7931,0.9860,-0.0294
15,0.5967,0.1518,8.2001,31.4768,39.6770,1.0062,-0.0273
16,0.8767,0.2261,7.8253,24.7611,32.5864,1.1498,-0.0286
17,0.6090,0.1468,6.5083,26.7626,33.2709,0.9563,-0.0250
18,0.7311,0.1780,5.9704,22.4869,28.4573,1.0195,-0.0251
19,1.0082,0.2707,6.0724,18.5045,24.5769,1.1811,-0.0271
20,0.9882,0.2588,6.0299,18.7710,24.8009,1.1720,-0.0277
21,0.8862,0.2299,5.8951,19.0159,24.9111,1.1456,-0.0280
22,0.8482,0.2216,5.7274,19.2786,25.0060,1.1115,-0.0271
23,0.9159,0.2413,5.8994,19.4658,25.3653,1.1401,-0.0247
24,1.0538,0.2808,6.1744,19.5060,25.6804,1.1886,-0.0247
25,1.1709,0.3099,6.4893,19.2352,25.7244,1.2608,-0.0233
26,1.3061,0.3658,6.8639,19.2640,26.1279,1.3328,-0.0234
27,1.5861,0.4693,7.5140,18.5229,26.0368,1.4568,-0.0242
28,1.1079,0.2766,6.0924,20.2248,26.3173,1.1833,-0.0208
29,2.2966,0.7959,8.9527,17.5329,26.4857,1.7526,-0.0316
30,1.0429,0.2599,5.8963,21.0254,26.9217,1.1460,-0.0217
31,3.3935,1.4882,11.2107,15.2490,26.4597,2.2046,-0.0475
32,0.5130,0.1208,4.9152,21.9997,26.9149,0.9434,-0.0341
33,2.1642,0.6992,8.6685,18.4701,27.1386,1.6969,-0.0343
34,0.8255,0.1893,5.3455,22.2315,27.5770,1.0294,-0.0250
35,1.5540,0.4368,7.0595,20.7282,27.7878,1.3739,-0.0229
36,1.0693,0.2809,5.6858,22.2553,27.9411,1.0976,-0.0191
37,1.6018,0.4620,7.0566,20.9762,28.0328,1.3710,-0.0187
38,0.7462,0.1842,4.6902,23.7527,28.4429,0.9003,-0.0155
39,1.1690,0.3093,5.8144,22.4808,28.2952,1.1241,-0.0147
40,3.7088,1.7514,11.5243,15.5037,27.0280,2.2669,-0.0494
41,0.7670,0.1765,5.1991,22.9934,28.1925,1.0060,-0.0384
42,1.8546,0.5585,7.6479,20.2708,27.9187,1.4895,-0.0293
43,1.0760,0.2788,5.6562,23.0109,28.6672,1.0938,-0.0250
44,1.3315,0.3602,6.1830,22.4895,28.6725,1.1989,-0.0205
45,0.6972,0.1719,4.4502,24.2575,28.7076,0.8549,-0.0147
46,1.1318,0.2827,5.6279,23.7385,29.3664,1.0883,-0.0144
47,2.9085,1.1336,9.6380,18.7816,28.4196,1.8906,-0.0290
48,0.8018,0.1962,5.0635,23.7128,28.7763,0.9748,-0.0215
49,3.6092,1.6009,11.0812,17.2757,28.3569,2.1647,-0.0353
