Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0430,0.0423,1.9533,6.2412,8.1945,0.3582,-0.0579
2,0.0372,0.0390,1.6784,4.0231,5.7015,0.4285,-0.0653
3,0.0412,0.0434,1.3495,3.7536,5.1031,0.4131,-0.0664
4,0.0441,0.0478,1.4565,3.2521,4.7086,0.5374,-0.0646
5,0.0464,0.0509,1.3645,3.0296,4.3941,0.5471,-0.0620
6,0.0451,0.0496,1.4544,3.0054,4.4598,0.6080,-0.0572
7,0.0437,0.0476,1.5227,2.7637,4.2864,0.6463,-0.0528
8,0.0421,0.0470,1.5117,2.7537,4.2654,0.6472,-0.0479
9,0.0404,0.0453,1.3948,2.7457,4.1405,0.5810,-0.0439
10,0.0379,0.0435,1.5197,2.5438,4.0635,0.6560,-0.0399
11,0.0361,0.0424,1.4422,2.5382,3.9804,0.6051,-0.0358
12,0.0346,0.0412,1.4266,2.4804,3.9070,0.5895,-0.0328
13,0.0325,0.0396,1.2727,2.2702,3.5429,0.4971,-0.0300
