Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0822,0.1243,3.9177,2.2650,6.1828,3.2170,-0.1193
2,0.0563,0.0808,1.7681,4.2232,5.9913,1.0546,-0.1141
3,0.0559,0.0816,1.7744,4.2403,6.0147,1.0628,-0.1063
4,0.0557,0.0810,2.2655,3.9640,6.2295,1.5486,-0.0999
5,0.0559,0.0833,2.1653,4.0176,6.1828,1.4746,-0.0935
6,0.0557,0.0823,2.1400,3.9654,6.1054,1.4426,-0.0877
7,0.0551,0.0845,1.8606,4.2504,6.1110,1.1553,-0.0821
8,0.0551,0.0812,2.0147,3.9950,6.0097,1.3055,-0.0761
9,0.0542,0.0786,1.9083,4.0000,5.9084,1.2148,-0.0715
10,0.0527,0.0806,1.7683,4.2407,6.0090,1.0776,-0.0662
11,0.0512,0.0821,1.7043,4.2786,5.9829,1.0045,-0.0636
12,0.0483,0.0685,1.8632,4.0038,5.8671,1.1569,-0.0593
13,0.0457,0.0630,1.7857,4.2519,6.0376,1.0171,-0.0538
14,0.0446,0.0666,1.6729,4.2214,5.8944,0.9761,-0.0502
15,0.0433,0.0680,1.7972,4.0029,5.8001,1.0879,-0.0475
16,0.0422,0.0653,1.7049,4.2714,5.9763,0.9973,-0.0438
17,0.0402,0.0628,1.7091,4.2331,5.9422,1.0151,-0.0402
18,0.0391,0.0621,1.7345,4.0015,5.7361,1.0365,-0.0370
19,0.0374,0.0584,1.8027,4.0332,5.8359,1.1111,-0.0340
20,0.0366,0.0576,1.8302,3.9885,5.8187,1.1358,-0.0315
21,0.0363,0.0562,1.9511,3.7520,5.7031,1.2423,-0.0290
22,0.0350,0.0543,1.8576,3.7169,5.5746,1.1528,-0.0262
23,0.0322,0.0515,1.7269,3.9590,5.6859,1.0012,-0.0242
24,0.0297,0.0494,1.5490,3.9973,5.5463,0.8666,-0.0220
25,0.0279,0.0480,1.7086,3.9521,5.6607,0.9849,-0.0203
26,0.0260,0.0465,1.7399,3.7161,5.4560,1.0221,-0.0185
27,0.0246,0.0456,1.6408,3.8083,5.4490,0.9405,-0.0170
28,0.0234,0.0448,1.5850,3.7528,5.3379,0.8952,-0.0157
29,0.0221,0.0439,1.4574,3.9893,5.4467,0.7626,-0.0142
30,0.0209,0.0431,1.6901,3.7524,5.4425,0.9831,-0.0130
31,0.0201,0.0424,1.5581,3.7166,5.2747,0.8601,-0.0120
32,0.0191,0.0421,1.6740,3.5671,5.2411,0.9537,-0.0108
33,0.0183,0.0413,1.4591,3.7628,5.2219,0.7630,-0.0101
34,0.0175,0.0397,1.6478,3.2539,4.9017,0.9242,-0.0094
35,0.0169,0.0397,1.5820,3.2828,4.8648,0.8899,-0.0086
