Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0381,0.0178,3.7511,1.0263,4.7775,0.7165,-0.0261
2,0.0303,0.0139,2.9844,0.7399,3.7243,0.5598,-0.0190
3,0.0391,0.0162,3.4486,0.7158,4.1644,0.6560,-0.0128
4,0.0483,0.0197,3.6351,0.9958,4.6310,0.6782,-0.0149
5,0.1028,0.0381,5.7297,0.9938,6.7235,1.1106,-0.0158
6,0.0980,0.0393,6.2173,0.7139,6.9312,1.2053,-0.0184
7,0.4318,0.2407,13.7592,0.4974,14.2566,2.7160,-0.0247
8,0.3924,0.2030,13.3895,0.4967,13.8862,2.6436,-0.0312
9,0.2540,0.1180,10.9391,0.7489,11.6881,2.1478,-0.0300
10,0.1574,0.0638,8.5639,0.4689,9.0328,1.6742,-0.0262
11,0.1489,0.0653,8.5189,0.7443,9.2632,1.6560,-0.0254
12,0.1833,0.0831,9.4455,0.5292,9.9747,1.8551,-0.0233
13,0.2103,0.1028,10.0872,0.7444,10.8316,1.9777,-0.0229
14,0.2223,0.1037,10.3774,0.5276,10.9050,2.0419,-0.0201
15,0.2101,0.0992,9.8847,0.7136,10.5983,1.9288,-0.0184
16,0.1951,0.0955,9.5097,0.7715,10.2812,1.8673,-0.0155
17,0.2377,0.1156,10.3154,0.7163,11.0317,2.0249,-0.0143
18,0.2167,0.1045,9.7474,0.7480,10.4954,1.9169,-0.0139
19,0.2480,0.1241,10.4025,0.7746,11.1771,2.0459,-0.0115
20,0.2812,0.1502,11.2117,0.7780,11.9897,2.2044,-0.0124
21,0.2695,0.1361,11.0080,0.4978,11.5058,2.1668,-0.0098
22,0.2908,0.1441,11.1677,0.4979,11.6655,2.2008,-0.0099
23,0.3209,0.1627,11.4487,0.7475,12.1962,2.2538,-0.0087
24,0.3504,0.1885,12.0922,0.7446,12.8367,2.3834,-0.0096
25,0.4444,0.2543,13.9224,4.2528,18.1753,2.7356,-0.0149
26,0.4120,0.2284,13.7341,4.7788,18.5129,2.7211,-0.0169
27,0.4434,0.2630,14.6614,3.4962,18.1576,2.8947,-0.0214
28,0.4820,0.4762,15.6063,12.5474,28.1537,3.0500,-0.0315
29,0.5081,0.4871,15.7736,12.3292,28.1028,3.0486,-0.0360
30,0.5047,0.4767,15.8682,12.0177,27.8859,3.0443,-0.0440
31,0.5193,0.4871,15.7695,11.9754,27.7449,3.0481,-0.0473
32,0.5385,0.5081,15.8490,11.9854,27.8344,3.0398,-0.0478
