Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
321,0.0879,0.1416,3.3006,3.7518,7.0524,3.3910,-0.5977
322,0.0869,0.1414,3.2829,3.7409,7.0237,3.3439,-0.5980
323,0.0866,0.1416,3.2855,3.4757,6.7613,3.3882,-0.5934
324,0.1616,0.1456,0.6509,0.2798,0.9307,0.1327,-0.5830
325,0.0852,0.1374,3.3152,3.4692,6.7844,3.4378,-0.5572
326,0.0864,0.1404,3.3399,4.0375,7.3774,3.4557,-0.5655
327,0.0848,0.1374,3.3364,4.0394,7.3758,3.4665,-0.5632
328,0.1176,0.1409,0.5954,0.2403,0.8357,0.1217,-0.5579
329,0.0849,0.1352,3.3496,3.9867,7.3363,3.4266,-0.5436
330,0.0843,0.1373,3.4083,3.4896,6.8979,3.5421,-0.5557
331,0.0845,0.1364,3.3465,3.7627,7.1093,3.4356,-0.5486
332,0.0856,0.1378,3.3074,3.7544,7.0618,3.3945,-0.5183
333,0.1752,0.1494,0.7109,0.2500,0.9608,0.1693,-0.5435
334,0.1498,0.1463,0.7133,0.2169,0.9302,0.1591,-0.5437
335,0.0858,0.1362,3.3454,3.7856,7.1310,3.4352,-0.5454
336,0.0850,0.1381,3.3145,3.7936,7.1081,3.3754,-0.5359
337,0.2243,0.1574,0.7167,0.2799,0.9967,0.1555,-0.4910
338,0.1888,0.1504,0.7399,0.2168,0.9567,0.1778,-0.4658
339,0.0848,0.1360,3.3736,3.7197,7.0933,3.5187,-0.5567
340,0.1199,0.1451,0.7719,0.2482,1.0202,0.1926,-0.5547
341,0.1002,0.1430,0.7748,0.2784,1.0532,0.1998,-0.5420
342,0.1301,0.1461,0.7751,0.2472,1.0224,0.2103,-0.5190
343,0.2253,0.1564,0.7462,0.2174,0.9636,0.1826,-0.5143
344,0.0851,0.1375,3.3720,4.0234,7.3954,3.4932,-0.5377
345,0.1841,0.1575,0.7146,0.2778,0.9923,0.1702,-0.5084
346,0.1124,0.1445,0.7782,0.2457,1.0239,0.2024,-0.5297
347,0.1991,0.1568,0.6821,0.2807,0.9628,0.1432,-0.5478
348,0.0879,0.1487,0.7753,0.2822,1.0575,0.1942,-0.5289
349,0.0924,0.1541,3.3022,4.0229,7.3251,3.3996,-0.5571
350,0.1709,0.1668,0.6832,0.2485,0.9317,0.1442,-0.5873
351,0.1936,0.1739,0.7718,0.2162,0.9880,0.2063,-0.6164
352,0.2200,0.1889,0.7127,0.2805,0.9932,0.1769,-0.6217
353,0.2932,0.1888,0.7117,0.2477,0.9594,0.1750,-0.6357
354,0.1288,0.1886,0.6678,7.2279,7.8957,0.1393,-0.6901
355,0.1136,0.1875,3.5944,4.2716,7.8660,3.8332,-0.7174
356,0.2426,0.1977,0.8402,6.4893,7.3295,0.2392,-0.7710
357,0.1069,0.1799,3.3336,4.5214,7.8550,3.4620,-0.7900
358,0.1157,0.1901,3.6213,3.7855,7.4068,3.8451,-0.6941
359,0.1245,0.1969,0.6491,7.3033,7.9524,0.1338,-0.8342
360,0.2131,0.1968,0.6794,6.7534,7.4328,0.1560,-0.8649
361,0.1971,0.2023,0.8371,7.2747,8.1118,0.2340,-0.8440
362,0.1483,0.1956,0.5899,7.2597,7.8496,0.1094,-0.8931
363,0.3914,0.2014,0.7103,7.2621,7.9724,0.1745,-0.8615
364,0.4394,0.2148,0.8370,7.1912,8.0282,0.2351,-0.8191
365,0.1722,0.1826,0.6553,6.7452,7.4004,0.1476,-0.8787
366,0.4565,0.2078,0.7735,7.2457,8.0192,0.2036,-0.8423
367,0.4427,0.2120,0.7751,7.2322,8.0073,0.2050,-0.8073
368,0.3224,0.1989,0.7140,7.2443,7.9583,0.1726,-0.8391
369,0.3655,0.2072,0.7727,7.2840,8.0567,0.2041,-0.8316
370,0.4292,0.2151,0.8065,6.7039,7.5104,0.2200,-0.7776
371,0.3356,0.1957,0.7123,7.2586,7.9708,0.1689,-0.7687
372,0.1679,0.1827,0.6497,7.0131,7.6628,0.1344,-0.8254
373,0.4080,0.2100,0.7725,6.7556,7.5281,0.2060,-0.7677
374,0.3663,0.1980,0.7505,6.7289,7.4793,0.1791,-0.7729
375,0.1525,0.1748,0.6823,7.0062,7.6885,0.1529,-0.8212
376,0.1046,0.1808,3.4192,4.4933,7.9125,3.5308,-0.7439
377,0.3065,0.1916,0.7445,6.9790,7.7235,0.1822,-0.7188
378,0.1641,0.1865,0.8432,6.7564,7.5996,0.2332,-0.8219
379,0.3688,0.2047,0.7778,6.7513,7.5291,0.2053,-0.7973
380,0.4019,0.2021,0.7743,6.9633,7.7376,0.1903,-0.7939
381,0.4048,0.2086,0.7461,7.4980,8.2441,0.1876,-0.7829
382,0.1872,0.1876,0.6499,7.5175,8.1674,0.1432,-0.7878
383,0.3728,0.2075,0.7145,7.2285,7.9430,0.1726,-0.6566
384,0.2436,0.2070,0.8371,6.7554,7.5924,0.2307,-0.8142
385,0.1206,0.1968,0.6189,7.4957,8.1146,0.1160,-0.8321
386,0.4525,0.2240,0.7761,6.7228,7.4990,0.2121,-0.8356
387,0.4271,0.2282,0.7456,7.2698,8.0155,0.1863,-0.8823
388,0.4902,0.2407,0.7761,7.4967,8.2728,0.1983,-0.8037
389,0.1942,0.2014,0.6517,7.4981,8.1498,0.1481,-0.9134
390,0.1668,0.2068,0.5889,7.5187,8.1076,0.1175,-0.8624
391,0.4745,0.2357,0.7762,7.0146,7.7908,0.2044,-0.9224
392,0.2150,0.2227,0.6196,7.4781,8.0977,0.1214,-0.9628
393,0.5272,0.2514,0.7371,6.7699,7.5069,0.1793,-0.9397
394,0.3253,0.2260,0.7118,7.2328,7.9445,0.1605,-0.9862
395,0.4537,0.2434,0.8401,7.2195,8.0596,0.2371,-1.0109
396,0.2594,0.2132,0.7721,6.9973,7.7693,0.1559,-1.0411
397,0.4400,0.2477,0.8332,7.2392,8.0724,0.2359,-0.9190
398,0.3233,0.2473,0.8709,6.7590,7.6299,0.2545,-1.0642
