Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1132,0.1800,1.7324,4.5574,6.2897,1.0396,-0.2652
2,0.0756,0.0874,1.7330,4.2837,6.0167,1.0076,-0.2410
3,0.0747,0.0877,1.9224,3.9805,5.9029,1.2296,-0.2215
4,0.0741,0.0851,1.8501,4.0066,5.8567,1.1508,-0.2021
5,0.0722,0.0815,1.8626,3.9775,5.8401,1.1681,-0.1864
6,0.0716,0.0825,1.8584,4.0271,5.8855,1.1544,-0.1714
7,0.0703,0.0819,1.6451,4.2783,5.9234,0.9240,-0.1580
8,0.0692,0.0790,1.7685,4.0051,5.7735,1.0702,-0.1463
9,0.0673,0.0779,1.6380,4.2282,5.8662,0.9128,-0.1360
10,0.0659,0.0763,1.6081,4.1856,5.7937,0.9157,-0.1253
11,0.0660,0.0762,1.7065,4.2794,5.9859,0.9968,-0.1163
12,0.0644,0.0735,1.6809,4.0004,5.6813,0.9820,-0.1082
13,0.0634,0.0748,1.6396,4.0644,5.7039,0.9503,-0.0994
14,0.0612,0.0716,1.5522,4.2426,5.7947,0.8570,-0.0918
15,0.0600,0.0712,1.6462,4.2292,5.8754,0.9198,-0.0857
16,0.0565,0.0681,1.5455,4.2379,5.7834,0.8514,-0.0791
17,0.0538,0.0664,1.5444,4.1791,5.7236,0.8388,-0.0724
18,0.0517,0.0652,1.5165,4.4658,5.9823,0.7887,-0.0667
19,0.0487,0.0629,1.6086,4.2728,5.8814,0.8937,-0.0622
20,0.0461,0.0613,1.3828,4.5292,5.9120,0.6866,-0.0573
21,0.0438,0.0597,1.5800,4.2497,5.8297,0.8848,-0.0528
22,0.0419,0.0580,1.9531,3.9823,5.9354,1.2332,-0.0486
23,0.0409,0.0566,2.0170,3.7752,5.7923,1.2978,-0.0446
24,0.0401,0.0544,1.7833,4.0036,5.7870,1.0817,-0.0411
25,0.0396,0.0537,1.8582,3.9968,5.8550,1.0624,-0.0378
26,0.0383,0.0525,1.8875,4.2626,6.1501,1.1859,-0.0345
27,0.0377,0.0511,1.8284,4.2600,6.0883,1.1126,-0.0318
28,0.0358,0.0501,1.7090,4.2242,5.9332,1.0029,-0.0293
