Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
103,0.2381,0.1335,0.7301,0.1256,0.8557,2.0848,-0.0411
104,0.3372,0.2135,0.8545,0.1248,0.9793,2.4495,-0.0423
105,0.2997,0.1972,0.7735,0.1643,0.9378,2.2188,-0.0375
106,0.3541,0.2267,0.8378,0.1302,0.9679,2.4134,-0.0399
107,0.3178,0.1784,0.8341,0.1238,0.9579,2.3490,-0.0423
108,0.2066,0.1414,0.7117,0.1542,0.8659,1.9905,-0.0387
109,0.2369,0.1414,0.6993,0.1718,0.8711,2.0257,-0.0423
110,0.1946,0.1211,0.6186,0.1764,0.7950,1.7987,-0.0435
111,0.2417,0.1662,0.7142,0.1713,0.8855,2.0465,-0.0423
112,0.3529,0.2340,0.7948,0.1683,0.9632,2.4457,-0.0447
113,0.2224,0.1343,0.6642,0.1715,0.8357,1.9571,-0.0399
114,0.2671,0.1577,0.7305,0.1242,0.8546,2.2344,-0.0447
115,0.3299,0.2151,0.7914,0.1241,0.9155,2.4903,-0.0423
116,0.2731,0.1630,0.6847,0.1559,0.8406,2.1589,-0.0387
117,0.2695,0.1681,0.7173,0.1225,0.8398,2.2136,-0.0423
118,0.2465,0.1589,0.5892,0.1696,0.7588,2.0127,-0.0423
119,0.2248,0.1420,0.6363,0.1705,0.8068,2.0434,-0.0423
120,0.2332,0.1458,0.6661,0.1547,0.8208,2.0856,-0.0399
121,0.2574,0.1863,0.6500,0.1856,0.8356,2.0889,-0.0435
122,0.2562,0.1648,0.6499,0.1707,0.8206,2.0914,-0.0447
123,0.2042,0.1369,0.6045,0.1703,0.7748,1.9127,-0.0459
124,0.2465,0.1551,0.6373,0.1553,0.7926,2.1094,-0.0423
125,0.2804,0.1766,0.7123,0.0936,0.8058,2.3129,-0.0483
126,0.2429,0.1553,0.6375,0.1252,0.7627,2.1312,-0.0435
127,0.2006,0.1318,0.5629,0.1793,0.7422,1.8534,-0.0459
128,0.2622,0.1505,0.6518,0.1447,0.7965,2.1883,-0.0435
129,0.2018,0.1235,0.5716,0.1549,0.7265,1.9046,-0.0459
130,0.3009,0.2152,0.7162,0.1382,0.8544,2.4495,-0.0447
131,0.3142,0.1971,0.6828,0.1248,0.8076,2.4319,-0.0423
132,0.2852,0.2008,0.6511,0.1466,0.7977,2.2018,-0.0423
133,0.2610,0.1665,0.6367,0.1243,0.7610,2.2468,-0.0435
134,0.2876,0.1831,0.6703,0.1704,0.8407,2.3108,-0.0471
135,0.3154,0.2166,0.6785,0.1518,0.8303,2.3960,-0.0459
136,0.3106,0.1941,0.6820,0.1143,0.7963,2.4713,-0.0471
137,0.2562,0.1650,0.6065,0.1543,0.7608,2.2370,-0.0447
138,0.3190,0.2268,0.6936,0.1556,0.8492,2.4646,-0.0483
139,0.2828,0.2113,0.6192,0.1547,0.7739,2.3190,-0.0459
140,0.2683,0.1788,0.6376,0.1102,0.7478,2.3460,-0.0447
141,0.3069,0.2183,0.6626,0.1248,0.7874,2.4552,-0.0459
142,0.4217,0.3053,0.7016,0.1384,0.8400,2.7181,-0.0483
143,0.2647,0.1762,0.6028,0.1085,0.7113,2.2740,-0.0471
144,0.2320,0.1412,0.5595,0.1566,0.7161,2.0195,-0.0483
145,0.2997,0.1896,0.6061,0.1713,0.7774,2.3359,-0.0495
146,0.2586,0.1726,0.6199,0.1242,0.7441,2.3237,-0.0471
147,0.2912,0.1865,0.6190,0.1250,0.7440,2.3846,-0.0495
148,0.3541,0.2558,0.6357,0.1548,0.7905,2.5540,-0.0471
149,0.2719,0.1895,0.6020,0.1848,0.7868,2.2787,-0.0447
150,0.2465,0.1626,0.5424,0.1256,0.6681,2.1688,-0.0435
151,0.3782,0.2485,0.6532,0.1245,0.7777,2.6938,-0.0483
152,0.2344,0.1572,0.5307,0.1556,0.6863,2.0527,-0.0459
153,0.3057,0.2171,0.6196,0.1242,0.7438,2.4811,-0.0459
154,0.2949,0.2186,0.5922,0.1221,0.7143,2.4300,-0.0411
155,0.1982,0.1295,0.4819,0.1228,0.6046,1.9931,-0.0447
156,0.3154,0.2306,0.5888,0.1389,0.7276,2.4581,-0.0471
157,0.2066,0.1229,0.4784,0.1259,0.6042,2.0029,-0.0435
158,0.3166,0.2183,0.5719,0.1563,0.7282,2.4100,-0.0471
159,0.3094,0.1816,0.5760,0.1247,0.7007,2.3809,-0.0495
160,0.3118,0.1966,0.5742,0.1378,0.7121,2.4194,-0.0532
161,0.2985,0.2075,0.5918,0.1151,0.7070,2.4330,-0.0459
162,0.2429,0.1626,0.5115,0.1668,0.6784,2.1233,-0.0459
163,0.2514,0.1860,0.5149,0.1343,0.6492,2.1287,-0.0423
164,0.2115,0.1355,0.4645,0.1712,0.6358,1.9436,-0.0435
165,0.3239,0.2284,0.5818,0.0934,0.6753,2.4919,-0.0447
166,0.2671,0.1827,0.5106,0.1395,0.6501,2.1824,-0.0471
167,0.3106,0.2098,0.5728,0.0936,0.6664,2.4983,-0.0471
168,0.3637,0.2478,0.6027,0.1250,0.7276,2.6661,-0.0447
169,0.2731,0.2063,0.5282,0.1241,0.6523,2.3331,-0.0435
170,0.2876,0.2133,0.5208,0.1321,0.6529,2.3052,-0.0471
171,0.3782,0.2757,0.6173,0.0919,0.7091,2.7570,-0.0423
172,0.2417,0.1780,0.4806,0.1247,0.6053,2.1235,-0.0471
173,0.3976,0.2451,0.5908,0.1247,0.7155,2.6761,-0.0435
174,0.2792,0.2165,0.5056,0.1710,0.6767,2.2616,-0.0423
175,0.3359,0.2478,0.5563,0.1242,0.6805,2.5469,-0.0423
176,0.2562,0.1648,0.4958,0.1237,0.6195,2.2392,-0.0423
177,0.2598,0.1734,0.5124,0.1526,0.6649,2.2478,-0.0447
178,0.2900,0.2004,0.5112,0.1668,0.6780,2.2695,-0.0459
179,0.3287,0.2580,0.5426,0.1491,0.6917,2.4648,-0.0483
180,0.3239,0.2294,0.5131,0.1576,0.6707,2.4782,-0.0411
181,0.2489,0.1562,0.4706,0.1237,0.5943,2.1853,-0.0435
182,0.3589,0.2734,0.5723,0.0935,0.6658,2.7382,-0.0483
183,0.3698,0.2690,0.5593,0.1237,0.6830,2.6555,-0.0363
184,0.2743,0.1897,0.4804,0.1250,0.6055,2.2766,-0.0459
185,0.2743,0.1784,0.4823,0.1254,0.6076,2.2755,-0.0471
186,0.2671,0.1918,0.5123,0.0912,0.6035,2.4523,-0.0508
187,0.3456,0.2463,0.5278,0.1127,0.6405,2.5618,-0.0520
188,0.2864,0.1882,0.4843,0.1207,0.6050,2.4101,-0.0459
189,0.4024,0.3190,0.5878,0.0926,0.6804,2.9007,-0.0471
190,0.2598,0.1846,0.4674,0.1396,0.6070,2.2879,-0.0520
191,0.4266,0.2951,0.5863,0.1098,0.6962,2.8924,-0.0520
192,0.2731,0.2112,0.5047,0.0939,0.5986,2.4935,-0.0508
193,0.2695,0.1952,0.4815,0.1220,0.6035,2.4035,-0.0471
194,0.2767,0.1938,0.4649,0.1445,0.6094,2.2643,-0.0447
195,0.3637,0.2845,0.5097,0.1559,0.6656,2.5683,-0.0495
196,0.2671,0.1875,0.4520,0.1237,0.5756,2.3383,-0.0447
197,0.3082,0.1935,0.4623,0.1228,0.5851,2.4075,-0.0483
198,0.3082,0.2313,0.5297,0.1090,0.6387,2.6180,-0.0471
199,0.3782,0.2873,0.5425,0.0916,0.6341,2.8173,-0.0483
200,0.3178,0.2245,0.4871,0.1258,0.6128,2.5056,-0.0495
201,0.3565,0.2644,0.4986,0.1499,0.6485,2.5708,-0.0447
202,0.3033,0.2474,0.4638,0.1158,0.5796,2.4816,-0.0471
203,0.3045,0.2186,0.4473,0.1252,0.5726,2.2905,-0.0483
204,0.2900,0.2305,0.4570,0.1269,0.5839,2.3659,-0.0483
205,0.2840,0.2155,0.4764,0.0922,0.5686,2.5180,-0.0471
206,0.2622,0.2168,0.4346,0.1390,0.5736,2.3507,-0.0447
207,0.4048,0.3101,0.5251,0.1069,0.6320,2.7904,-0.0459
208,0.4097,0.2794,0.5357,0.1085,0.6442,2.8561,-0.0495
209,0.2683,0.1603,0.4346,0.1560,0.5906,2.2355,-0.0471
210,0.3915,0.2973,0.5119,0.0945,0.6064,2.8435,-0.0471
211,0.2912,0.2004,0.4343,0.1242,0.5585,2.3547,-0.0495
212,0.2888,0.1888,0.4492,0.1230,0.5722,2.3992,-0.0483
213,0.2622,0.1795,0.4474,0.0943,0.5417,2.4151,-0.0447
214,0.3106,0.2149,0.4513,0.1133,0.5647,2.4472,-0.0483
215,0.2647,0.1804,0.4148,0.1396,0.5544,2.2466,-0.0508
216,0.2526,0.1869,0.4170,0.1235,0.5406,2.2484,-0.0483
217,0.3094,0.2037,0.4202,0.1556,0.5757,2.3882,-0.0520
218,0.3045,0.2483,0.4488,0.0924,0.5412,2.5458,-0.0495
219,0.2973,0.2300,0.4478,0.1170,0.5647,2.4823,-0.0471
220,0.4012,0.2988,0.4808,0.1238,0.6046,2.7951,-0.0508
221,0.4326,0.3128,0.4920,0.1252,0.6172,2.9556,-0.0483
222,0.3359,0.2485,0.4784,0.1084,0.5868,2.7691,-0.0495
223,0.3420,0.2559,0.4829,0.1369,0.6198,2.6567,-0.0520
224,0.2900,0.2117,0.4174,0.1241,0.5415,2.4541,-0.0520
225,0.3915,0.3063,0.4786,0.1251,0.6037,2.7348,-0.0483
226,0.2997,0.2250,0.4272,0.1075,0.5348,2.4253,-0.0495
227,0.3094,0.2268,0.4670,0.0946,0.5617,2.5998,-0.0471
228,0.3057,0.1975,0.4486,0.0937,0.5423,2.4887,-0.0459
229,0.2997,0.2366,0.4351,0.0937,0.5288,2.5207,-0.0520
230,0.2731,0.1997,0.3961,0.1384,0.5345,2.2437,-0.0459
231,0.2949,0.2132,0.4152,0.1095,0.5247,2.4253,-0.0495
232,0.2767,0.2124,0.4067,0.1385,0.5453,2.3613,-0.0520
233,0.3057,0.2231,0.4502,0.0953,0.5455,2.5171,-0.0483
234,0.3456,0.2526,0.4353,0.0924,0.5277,2.5908,-0.0447
235,0.3178,0.2183,0.4330,0.0930,0.5260,2.6009,-0.0459
236,0.3118,0.2447,0.4186,0.1235,0.5421,2.5900,-0.0459
237,0.2707,0.1726,0.4025,0.1388,0.5413,2.3295,-0.0483
238,0.2900,0.2099,0.4199,0.0951,0.5150,2.4939,-0.0459
239,0.3529,0.2378,0.4490,0.0947,0.5437,2.8120,-0.0435
240,0.4205,0.2978,0.4750,0.0855,0.5604,2.9463,-0.0495
241,0.3650,0.2822,0.4499,0.1393,0.5892,2.8045,-0.0459
242,0.3746,0.3004,0.4418,0.1233,0.5652,2.7181,-0.0471
243,0.3456,0.2699,0.4630,0.1247,0.5877,2.7787,-0.0435
244,0.3480,0.2408,0.4514,0.0926,0.5440,2.8276,-0.0459
245,0.3251,0.2385,0.4024,0.1233,0.5257,2.4811,-0.0495
246,0.2949,0.2055,0.4051,0.1230,0.5280,2.4727,-0.0459
247,0.3214,0.2612,0.4210,0.1079,0.5290,2.6262,-0.0483
248,0.3190,0.2484,0.3913,0.1178,0.5091,2.4541,-0.0447
249,0.2719,0.2281,0.4172,0.1247,0.5419,2.5726,-0.0483
250,0.3311,0.2407,0.4191,0.0933,0.5123,2.7590,-0.0495
251,0.4520,0.3080,0.4677,0.0620,0.5297,3.0881,-0.0483
252,0.3130,0.2374,0.4183,0.1231,0.5414,2.5261,-0.0471
253,0.3299,0.2509,0.3712,0.1099,0.4811,2.4456,-0.0495
254,0.2888,0.1947,0.4051,0.1247,0.5298,2.4770,-0.0495
