Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1542,0.1956,3.7545,1.7697,5.5242,4.0580,-0.2999
2,0.0942,0.1468,3.5339,1.7644,5.2983,3.7565,-0.3219
3,0.1579,0.1762,3.9388,1.5212,5.4600,4.2606,-0.2938
4,0.1217,0.1607,3.6947,1.7385,5.4332,3.9679,-0.2581
5,0.0804,0.1349,3.3516,2.2325,5.5841,3.4510,-0.2327
6,0.0716,0.1129,1.9924,3.4630,5.4554,1.4624,-0.1998
7,0.0705,0.1088,1.9236,3.5088,5.4324,1.3306,-0.1771
8,0.0694,0.1074,1.7678,3.7248,5.4926,1.1239,-0.1608
9,0.0678,0.1044,1.7628,3.7570,5.5198,1.1281,-0.1450
10,0.0667,0.1012,1.8248,3.7404,5.5651,1.2265,-0.1353
11,0.0650,0.0989,1.7690,3.7829,5.5520,1.1232,-0.1246
12,0.0620,0.0962,1.8608,3.7786,5.6394,1.2567,-0.1164
13,0.0596,0.0916,1.7980,3.7535,5.5514,1.1920,-0.1085
14,0.0567,0.0902,1.5800,4.0307,5.6107,0.9102,-0.1006
15,0.0548,0.0891,2.0791,3.5317,5.6108,1.5904,-0.0937
