Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0868,0.1102,1.6188,3.9820,5.6007,0.9314,-0.1663
2,0.0729,0.0861,1.5805,4.2562,5.8367,0.8701,-0.1539
3,0.0727,0.1021,1.5975,3.0131,4.6106,0.9091,-0.1426
4,0.0700,0.0999,1.6389,3.0428,4.6818,0.9634,-0.1321
5,0.0670,0.1034,1.6420,2.7955,4.4375,0.9816,-0.1205
6,0.0653,0.1037,1.6469,2.7288,4.3756,0.9467,-0.1104
7,0.0623,0.0986,2.2933,1.9759,4.2692,1.9219,-0.1029
8,0.0605,0.0973,2.3819,1.7337,4.1157,2.0848,-0.0933
9,0.0594,0.0939,2.1981,1.9893,4.1874,1.7348,-0.0869
10,0.0585,0.0934,2.3540,1.7347,4.0887,2.0030,-0.0787
11,0.0598,0.0908,2.2638,1.7040,3.9678,1.8426,-0.0733
12,0.0566,0.0872,2.2048,1.7977,4.0025,1.7435,-0.0669
13,0.0573,0.0858,2.1360,2.0143,4.1503,1.6330,-0.0607
14,0.0557,0.0828,1.9844,2.0564,4.0407,1.4258,-0.0550
15,0.0544,0.0801,1.9792,2.0420,4.0212,1.4326,-0.0506
16,0.0528,0.0771,1.9489,2.0438,3.9927,1.3595,-0.0464
17,0.0508,0.0737,1.9508,2.0452,3.9960,1.3860,-0.0424
18,0.0479,0.0717,1.8259,1.9512,3.7770,1.2094,-0.0387
19,0.0468,0.0689,1.9369,1.8056,3.7426,1.3698,-0.0349
20,0.0447,0.0675,1.7994,2.0124,3.8118,1.1841,-0.0323
21,0.0423,0.0652,1.7309,2.0310,3.7620,1.0824,-0.0298
22,0.0402,0.0633,1.8611,1.9368,3.7979,1.2205,-0.0276
23,0.0380,0.0606,1.7341,2.0443,3.7784,1.0732,-0.0251
24,0.0358,0.0586,1.6477,2.0132,3.6609,0.9737,-0.0225
25,0.0336,0.0569,1.6454,2.0227,3.6681,0.9870,-0.0206
26,0.0314,0.0553,1.7667,1.9585,3.7252,1.1158,-0.0188
27,0.0296,0.0529,1.6302,2.0026,3.6328,0.9585,-0.0173
28,0.0279,0.0514,1.6744,1.9498,3.6242,1.0139,-0.0158
29,0.0263,0.0506,1.6086,2.0154,3.6240,0.9402,-0.0144
30,0.0248,0.0490,1.5173,1.9704,3.4877,0.8182,-0.0129
31,0.0235,0.0480,1.6176,2.0158,3.6334,0.9160,-0.0120
32,0.0221,0.0467,1.5915,1.9849,3.5764,0.9241,-0.0110
33,0.0209,0.0456,1.6747,1.7034,3.3780,1.0184,-0.0100
34,0.0202,0.0450,1.4586,1.9820,3.4407,0.7522,-0.0089
35,0.0193,0.0444,1.6095,1.7533,3.3628,0.9235,-0.0078
