Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0737,0.1208,3.5329,1.7695,5.3024,2.7972,-0.0929
2,0.0598,0.0947,3.3991,1.5467,4.9458,2.7005,-0.0888
3,0.0583,0.0918,1.8898,2.9456,4.8354,1.1974,-0.0848
4,0.0579,0.0816,1.8911,3.0422,4.9333,1.1850,-0.0794
5,0.0567,0.0729,1.7347,3.0029,4.7376,1.0272,-0.0752
6,0.0556,0.0695,1.8353,2.7585,4.5939,1.1439,-0.0704
7,0.0538,0.0672,1.6444,3.0039,4.6483,0.9353,-0.0659
8,0.0525,0.0666,1.6713,3.0269,4.6981,0.9542,-0.0615
9,0.0507,0.0637,1.7952,2.7319,4.5271,1.0744,-0.0579
10,0.0484,0.0619,1.7684,2.7350,4.5035,1.0652,-0.0547
11,0.0459,0.0602,1.6097,2.7265,4.3362,0.9154,-0.0517
12,0.0444,0.0583,1.6406,2.7297,4.3703,0.9488,-0.0487
13,0.0424,0.0570,1.5521,2.7733,4.3253,0.8570,-0.0456
14,0.0397,0.0561,1.4866,2.7283,4.2150,0.7770,-0.0432
15,0.0373,0.0544,1.4536,2.7598,4.2134,0.7491,-0.0405
16,0.0354,0.0537,1.6448,2.5335,4.1782,0.9479,-0.0390
17,0.0339,0.0514,1.5526,2.5021,4.0547,0.8073,-0.0372
18,0.0330,0.0507,2.6362,1.4803,4.1165,1.9282,-0.0348
19,0.0327,0.0492,2.5115,1.5219,4.0334,1.7887,-0.0331
20,0.0326,0.0485,2.4782,1.4904,3.9686,1.7787,-0.0320
21,0.0324,0.0483,2.4151,1.4906,3.9057,1.7082,-0.0301
22,0.0325,0.0476,2.5092,1.4908,4.0000,1.8074,-0.0295
23,0.0328,0.0466,2.5251,1.2731,3.7982,1.8037,-0.0286
24,0.0320,0.0463,2.4175,1.2251,3.6426,1.7112,-0.0274
25,0.0318,0.0458,2.5100,1.2371,3.7471,1.8244,-0.0268
26,0.0319,0.0453,2.4192,1.2547,3.6738,1.7312,-0.0253
27,0.0322,0.0454,2.3792,1.2405,3.6197,1.6780,-0.0248
28,0.0319,0.0456,2.3096,1.3002,3.6098,1.5998,-0.0248
29,0.0323,0.0455,2.5562,0.9584,3.5145,1.8507,-0.0242
30,0.0317,0.0444,2.3570,1.2417,3.5987,1.6410,-0.0242
31,0.0325,0.0446,2.5035,0.9953,3.4988,1.7725,-0.0239
32,0.0315,0.0441,2.3262,1.2727,3.5989,1.6259,-0.0237
33,0.0313,0.0438,2.3545,0.9582,3.3128,1.6472,-0.0235
34,0.0319,0.0439,2.4170,0.9616,3.3786,1.7319,-0.0234
35,0.0308,0.0419,2.3212,0.9891,3.3103,1.6375,-0.0228
36,0.0305,0.0425,2.3069,0.9919,3.2988,1.5798,-0.0222
37,0.0309,0.0421,2.4216,0.7489,3.1705,1.7058,-0.0222
38,0.0310,0.0434,2.2650,1.0199,3.2848,1.5618,-0.0219
39,0.0316,0.0430,2.3888,0.9904,3.3792,1.6712,-0.0222
40,0.0313,0.0438,2.4848,0.7128,3.1976,1.7926,-0.0214
41,0.0312,0.0421,2.3886,0.8063,3.1949,1.6806,-0.0214
42,0.0312,0.0424,2.3405,0.7440,3.0844,1.6256,-0.0211
43,0.0315,0.0431,2.2855,0.7156,3.0010,1.5855,-0.0208
44,0.0316,0.0426,2.4995,0.6970,3.1965,1.7908,-0.0207
45,0.0323,0.0434,2.3453,0.7779,3.1233,1.6333,-0.0211
46,0.0326,0.0432,2.4251,0.7448,3.1698,1.6986,-0.0212
47,0.0326,0.0433,2.4543,0.7457,3.1999,1.7453,-0.0211
48,0.0315,0.0428,2.3509,0.7745,3.1254,1.6380,-0.0211
49,0.0320,0.0436,2.2783,0.7408,3.0190,1.5808,-0.0209
50,0.0315,0.0429,2.3574,0.7455,3.1029,1.6650,-0.0206
51,0.0323,0.0433,2.4479,0.7446,3.1925,1.7258,-0.0206
52,0.0320,0.0431,2.3869,0.7441,3.1310,1.6784,-0.0206
53,0.0312,0.0431,2.2615,0.7448,3.0063,1.5629,-0.0206
54,0.0307,0.0414,2.4512,0.4957,2.9469,1.7505,-0.0183
55,0.0311,0.0424,2.4835,0.5217,3.0052,1.7601,-0.0202
56,0.0306,0.0426,2.2665,0.7740,3.0405,1.5623,-0.0190
57,0.0307,0.0425,2.4538,0.4971,2.9509,1.7365,-0.0200
58,0.0310,0.0421,2.3227,0.7444,3.0671,1.6211,-0.0194
59,0.0307,0.0430,2.4786,0.4950,2.9735,1.7745,-0.0182
60,0.0311,0.0425,2.3860,0.7110,3.0969,1.6901,-0.0193
61,0.0309,0.0426,2.3806,0.4959,2.8765,1.6737,-0.0195
62,0.0298,0.0424,2.2324,0.7739,3.0063,1.5352,-0.0180
63,0.0297,0.0417,2.2443,0.7442,2.9885,1.5362,-0.0196
