Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0100,0.0279,20.7414,0.3266,21.0681,4.0098,0.0000
2,0.0101,0.0282,20.8431,0.3270,21.1701,4.0050,0.0000
3,0.0101,0.0284,21.0483,0.3278,21.3761,4.0006,0.0000
4,0.0102,0.0286,20.8396,0.9798,21.8194,4.0047,0.0000
5,0.0101,0.0287,20.5264,0.5440,21.0705,4.0050,0.0000
6,0.0102,0.0289,20.5178,0.5458,21.0636,4.0005,0.0000
7,0.0102,0.0289,20.6400,1.1971,21.8370,4.0050,0.0000
8,0.0102,0.0282,20.1068,1.9630,22.0698,3.9939,-0.0235
9,0.0103,0.0293,20.8595,1.2055,22.0650,4.0015,0.0000
10,0.0104,0.0296,20.8694,0.9891,21.8585,4.0046,0.0000
