Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1033,0.1588,4.1343,2.2590,6.3933,3.4383,-0.1885
2,0.0770,0.1103,1.6471,4.4982,6.1453,0.9405,-0.1699
3,0.0731,0.1181,1.6701,3.2656,4.9357,1.0107,-0.1532
4,0.0719,0.1204,1.6738,3.2398,4.9137,1.0123,-0.1416
5,0.0685,0.1185,1.8000,2.7653,4.5653,1.1560,-0.1314
6,0.0754,0.1248,2.9493,1.7367,4.6859,3.1336,-0.1208
7,0.0725,0.1234,2.7917,1.7611,4.5528,2.8400,-0.1130
8,0.0788,0.1216,2.8475,1.7664,4.6139,2.9283,-0.1048
9,0.0808,0.1245,2.8114,1.5180,4.3294,2.8971,-0.0980
10,0.0805,0.1221,2.8582,1.4870,4.3452,2.9278,-0.0910
11,0.0804,0.1176,3.0289,1.3188,4.3477,3.2498,-0.0854
12,0.0610,0.1005,2.7841,1.4605,4.2445,2.7959,-0.0784
13,0.0537,0.0916,2.0752,2.2296,4.3048,1.5370,-0.0731
14,0.0520,0.0891,2.1365,2.0025,4.1390,1.6713,-0.0669
15,0.0507,0.0874,2.0305,2.2330,4.2635,1.4673,-0.0628
16,0.0491,0.0842,2.6678,1.5159,4.1837,2.6028,-0.0576
17,0.0471,0.0807,2.0189,1.9891,4.0080,1.4634,-0.0546
18,0.0472,0.0801,2.5698,1.4895,4.0593,2.4005,-0.0513
19,0.0467,0.0771,2.4471,1.5180,3.9651,2.2071,-0.0482
20,0.0450,0.0760,2.3848,1.7684,4.1532,2.0572,-0.0454
21,0.0468,0.0732,2.5093,1.5061,4.0154,2.2706,-0.0429
