Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.0579,0.0247,4.1950,1.0199,5.2150,0.8050,-0.0253
2,0.0409,0.0173,3.6276,0.7717,4.3993,0.6883,-0.0238
3,0.0435,0.0181,4.1589,0.4933,4.6521,0.7996,-0.0221
4,0.0253,0.0132,2.9472,0.4961,3.4433,0.5556,-0.0187
5,0.0266,0.0137,2.8261,0.4937,3.3197,0.5306,-0.0143
6,0.0279,0.0138,2.5757,0.4966,3.0723,0.4796,-0.0108
7,0.0285,0.0138,2.3576,0.4959,2.8536,0.4340,-0.0081
8,0.0228,0.0130,1.9864,0.4964,2.4828,0.3621,-0.0066
9,0.0100,0.0117,0.9979,0.0000,0.9979,0.1662,-0.0045
10,0.0076,0.0118,1.1147,0.0000,1.1147,0.1889,-0.0029
11,0.0062,0.0119,16.0786,0.0000,16.0786,3.0500,-0.0017
