Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.1079,0.1662,3.0388,1.2355,4.2743,3.3083,-0.1743
2,0.0729,0.1110,1.7709,2.4794,4.2502,1.1428,-0.1610
3,0.0709,0.1088,1.5421,2.7325,4.2746,0.8673,-0.1491
4,0.0691,0.1052,1.6428,2.5174,4.1603,0.9704,-0.1367
5,0.0659,0.1028,1.5177,2.7608,4.2785,0.8270,-0.1272
6,0.0647,0.1007,2.4560,1.7069,4.1629,2.1739,-0.1167
7,0.0615,0.0978,2.1992,1.7950,3.9942,1.7696,-0.1088
8,0.0625,0.0980,2.3859,1.8015,4.1874,2.0923,-0.1008
9,0.0618,0.0931,2.2574,1.7522,4.0096,1.8641,-0.0937
10,0.0598,0.0907,2.1654,1.7348,3.9002,1.7176,-0.0875
11,0.0595,0.0888,2.2442,1.7392,3.9834,1.8018,-0.0808
12,0.0577,0.0862,2.2771,1.7346,4.0117,1.8559,-0.0746
13,0.0577,0.0848,2.1049,1.7754,3.8803,1.6241,-0.0675
14,0.0540,0.0816,2.2466,1.4895,3.7361,1.8018,-0.0616
15,0.0537,0.0798,2.1392,1.7375,3.8768,1.6284,-0.0558
16,0.0518,0.0763,1.9785,1.7347,3.7132,1.3862,-0.0512
17,0.0511,0.0745,1.8851,1.7337,3.6188,1.2964,-0.0466
18,0.0498,0.0731,1.9854,1.7030,3.6884,1.4185,-0.0426
19,0.0483,0.0679,1.9044,1.8004,3.7048,1.2793,-0.0385
20,0.0466,0.0687,1.9504,1.7410,3.6914,1.3526,-0.0352
21,0.0435,0.0656,1.9076,1.7492,3.6568,1.2991,-0.0320
22,0.0417,0.0636,1.8622,1.7399,3.6021,1.2588,-0.0292
23,0.0395,0.0608,1.7660,2.0461,3.8122,1.1024,-0.0268
24,0.0367,0.0595,1.8644,1.7373,3.6017,1.2518,-0.0245
25,0.0350,0.0570,1.7037,1.9848,3.6885,1.0303,-0.0222
26,0.0328,0.0551,1.7407,1.7400,3.4807,1.0775,-0.0203
27,0.0312,0.0536,1.7002,1.9906,3.6908,1.0224,-0.0188
28,0.0295,0.0526,1.7063,1.9748,3.6811,1.0366,-0.0172
29,0.0276,0.0507,1.7439,1.7647,3.5085,1.0675,-0.0157
30,0.0263,0.0497,1.5491,2.0102,3.5593,0.8425,-0.0142
31,0.0250,0.0490,1.6101,2.0398,3.6499,0.9178,-0.0129
32,0.0236,0.0477,1.4583,2.0196,3.4779,0.7541,-0.0119
33,0.0226,0.0466,1.5493,2.0009,3.5502,0.8584,-0.0108
34,0.0214,0.0458,1.4877,1.9962,3.4839,0.7844,-0.0097
35,0.0207,0.0450,1.5507,1.9903,3.5410,0.8558,-0.0085
36,0.0196,0.0444,1.6131,1.7352,3.3483,0.9172,-0.0079
37,0.0188,0.0434,1.5532,1.9677,3.5209,0.8496,-0.0069
38,0.0181,0.0435,1.6112,1.7700,3.3812,0.9040,-0.0065
39,0.0175,0.0426,1.6360,1.7390,3.3751,0.9568,-0.0059
40,0.0169,0.0422,1.6753,1.7335,3.4088,1.0243,-0.0053
41,0.0164,0.0418,1.7950,1.4746,3.2695,1.1570,-0.0046
42,0.0160,0.0416,1.7083,1.5230,3.2313,1.0496,-0.0040
43,0.0157,0.0409,1.7993,1.4556,3.2549,1.1588,-0.0036
44,0.0154,0.0410,1.7641,1.5166,3.2807,1.1124,-0.0030
45,0.0151,0.0404,1.8235,1.4581,3.2816,1.1919,-0.0026
46,0.0149,0.0400,1.9887,1.3005,3.2892,1.4439,-0.0022
