Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.2351,0.0892,13.3877,70.9817,84.3694,0.6653,-0.1772
2,0.1562,0.0645,18.5795,66.5316,85.1111,0.9248,-0.1435
3,0.2916,0.0900,20.5282,66.5026,87.0308,1.0226,-0.1192
4,0.6446,0.2327,30.8915,56.4931,87.3846,1.5421,-0.1556
5,0.0760,0.0430,7.8192,50.2503,58.0695,0.5786,-0.1296
6,0.0805,0.0432,7.6045,51.5093,59.1138,0.5618,-0.0994
7,0.1045,0.0458,7.9515,51.5247,59.4762,0.5901,-0.0777
8,0.1072,0.0477,5.6941,38.7604,44.4545,0.5580,-0.0699
9,0.1088,0.0471,5.2261,39.7562,44.9824,0.5104,-0.0509
10,0.0845,0.0435,4.1324,41.1815,45.3139,0.4057,-0.0431
11,0.0790,0.0435,2.9541,32.9979,35.9520,0.3507,-0.0384
12,0.0636,0.0411,2.1392,34.2720,36.4112,0.2458,-0.0313
13,0.0578,0.0408,1.7355,28.5216,30.2571,0.2344,-0.0278
14,0.0533,0.0403,1.4579,23.9669,25.4247,0.2227,-0.0258
15,0.0493,0.0400,1.3696,21.2347,22.6043,0.2373,-0.0233
16,0.0427,0.0392,1.2758,21.7455,23.0213,0.2174,-0.0183
17,0.0383,0.0386,1.0858,22.2612,23.3470,0.1823,-0.0148
18,0.0339,0.0383,0.9630,22.4826,23.4456,0.1539,-0.0113
