Layer,Peak_Force_N,Work_of_Adhesion_mJ
1,1.5048,0.4363
2,0.2958,0.0517
3,0.2689,0.0477
4,0.2891,0.0573
5,0.2885,0.0546
6,0.3021,0.0602
7,0.2978,0.0565
8,0.3064,0.0620
9,0.3131,0.0619
10,0.3332,0.0686
11,0.3487,0.0753
12,0.3621,0.0788
13,0.3863,0.0812
14,0.4075,0.0829
15,0.4259,0.0840
16,0.4304,0.0849
17,0.4774,0.0905
18,0.4853,0.0934
19,0.5070,0.0982
20,0.5144,0.0979
21,0.5644,0.1050
22,0.5799,0.1075
23,0.5988,0.1122
24,0.6043,0.1138
25,0.6173,0.1160
26,0.6438,0.1241
27,0.6573,0.1275
28,0.6538,0.1243
29,0.6963,0.1362
30,0.6481,0.1202
31,0.4958,0.0930
32,0.6715,0.1277
33,0.6919,0.1317
34,0.7012,0.1325
35,0.7019,0.1360
36,0.4884,0.0934
37,0.6965,0.1320
38,0.6988,0.1344
39,0.7030,0.1366
40,0.7039,0.1348
41,0.7037,0.1354
42,0.7345,0.1433
43,0.7219,0.1386
44,0.6942,0.1321
45,0.7321,0.1413
46,0.7223,0.1422
47,0.7026,0.1380
48,0.7113,0.1389
49,0.7373,0.1394
50,0.7221,0.1464
51,0.7340,0.1459
52,0.6992,0.1340
53,0.7175,0.1423
54,0.7241,0.1448
55,0.7144,0.1359
56,0.6846,0.1344
57,0.7054,0.1405
58,0.7152,0.1445
59,0.7033,0.1386
60,0.6729,0.1347
61,0.6586,0.1318
62,0.5498,0.1136
63,0.6562,0.1291
64,0.5487,0.1094
65,0.6756,0.1366
66,0.6872,0.1342
67,0.7078,0.1412
68,0.6887,0.1380
69,0.6973,0.1353
70,0.6909,0.1396
71,0.7113,0.1444
72,0.6044,0.1228
73,0.6532,0.1324
74,0.7700,0.1578
75,0.8218,0.1737
76,0.8974,0.1937
77,0.6740,0.1400
78,1.3138,0.3075
79,1.3137,0.3293
80,1.6490,0.4206
81,1.3605,0.3345
82,2.1643,0.6048
83,0.9664,0.2141
84,1.3182,0.3155
85,0.5377,0.1154
86,1.9543,0.5350
87,2.2228,0.6287
88,2.2587,0.6779
89,2.2501,0.6454
90,2.1444,0.6108
91,0.8832,0.1915
92,1.9784,0.5379
93,2.0433,0.5670
94,1.1422,0.2560
95,1.1469,0.2596
96,1.0614,0.2421
97,2.2058,0.6174
98,1.0613,0.2376
99,2.2289,0.6662
100,0.5961,0.1313
101,1.3790,0.3277
102,1.0591,0.2358
103,1.1362,0.2515
104,1.0985,0.2518
105,0.9954,0.2187
106,1.6954,0.4384
107,1.0538,0.2313
108,1.0686,0.2433
109,0.9975,0.2255
110,1.4664,0.3495
111,1.0014,0.2254
112,1.6913,0.4481
113,1.1557,0.2583
114,1.1937,0.2757
115,1.2727,0.3037
116,2.4052,0.7157
117,1.3681,0.3373
118,1.5502,0.3919
119,2.5370,0.7813
120,1.1488,0.2590
121,1.7248,0.4784
122,1.2822,0.3124
123,3.6632,1.3404
124,1.7373,0.4544
125,1.3434,0.3209
126,1.0110,0.2230
127,2.3478,0.6961
128,2.4313,0.7158
129,2.3619,0.7475
130,0.8938,0.1922
131,1.0553,0.2329
132,1.0705,0.2374
133,1.0802,0.2475
134,1.2174,0.2916
135,1.2795,0.3174
136,1.1252,0.3036
137,1.3170,0.3333
138,1.2931,0.3122
139,0.8423,0.1841
140,4.0501,1.5967
141,0.5437,0.1204
142,0.5282,0.1206
143,0.4735,0.1059
144,0.4970,0.1099
145,1.1400,0.2596
146,1.2085,0.2774
147,0.9456,0.2132
148,1.0285,0.2386
149,1.1158,0.2577
150,1.1780,0.2800
151,1.2562,0.2978
152,1.2722,0.3170
153,1.4004,0.3544
154,1.0711,0.2477
155,2.7948,0.8720
156,1.4953,0.3857
157,1.5218,0.4091
158,5.8294,2.9387
159,1.2256,0.2755
160,1.2592,0.2882
161,0.9555,0.2250
162,2.8767,0.8583
163,1.0145,0.2314
164,4.2107,1.4878
165,0.8242,0.1939
166,0.7439,0.1621
167,1.2085,0.2703
168,1.0664,0.2366
169,0.6091,0.1518
170,0.5113,0.1303
171,0.4446,0.1131
172,0.5608,0.1287
173,0.6292,0.1460
174,0.4897,0.1250
175,0.3899,0.1058
176,0.5184,0.1268
177,0.5071,0.1244
178,0.4289,0.1141
179,1.9315,0.5153
180,1.9978,0.5234
181,1.1066,0.2482
182,1.1545,0.2563
183,1.2034,0.2751
184,1.2216,0.2791
185,1.1265,0.2589
186,1.2323,0.2750
187,0.4575,0.1168
188,1.3831,0.3115
189,1.2929,0.3056
190,0.5294,0.1302
191,2.8405,0.8632
192,1.9244,0.5042
193,1.5472,0.3595
194,1.0644,0.2355
195,1.7049,0.4292
196,1.7049,0.4307
197,4.2433,1.5669
198,1.7148,0.4462
199,1.7465,0.4458
200,1.6194,0.4035
201,1.8682,0.5143
202,1.3052,0.3081
203,1.7484,0.4515
204,1.0693,0.2502
205,6.9699,3.2845
206,0.4856,0.1342
207,0.4270,0.1311
208,1.0884,0.2663
209,2.8708,0.8589
210,0.6423,0.1717
211,2.9164,0.8265
212,1.1488,0.2810
213,1.1747,0.2768
214,1.8682,0.4723
215,0.4773,0.1464
216,1.7241,0.4223
217,0.7324,0.1909
218,1.9454,0.4938
219,0.5986,0.1714
220,1.1641,0.2662
221,0.6401,0.1695
222,1.2311,0.2790
223,2.3046,0.6010
224,0.5795,0.1589
225,2.4662,0.6590
226,0.8788,0.2175
227,0.5229,0.1545
228,3.2953,1.0131
229,0.8020,0.2109
230,2.0918,0.5496
231,1.3128,0.3149
232,1.4630,0.3767
233,1.1340,0.2790
234,0.5591,0.1749
235,2.5887,0.7439
236,0.7331,0.2105
237,3.1575,1.0054
238,0.6219,0.1921
239,2.2102,0.5895
240,3.5191,1.1412
241,3.5176,1.1205
242,1.7845,0.4550
243,1.8056,0.5042
244,0.5705,0.1797
245,2.9689,0.8952
246,0.8005,0.2146
247,1.3209,0.3633
248,0.5919,0.1876
249,1.2045,0.3195
250,0.5743,0.1909
251,2.2488,0.6313
252,0.6364,0.2047
253,2.1645,0.6199
254,2.5114,0.6995
255,0.8877,0.2570
256,4.1104,1.3604
257,3.0133,0.8946
258,0.9862,0.2494
259,0.4949,0.1774
260,2.1700,0.5781
261,1.5133,0.3935
262,0.9109,0.2456
263,3.9446,1.3599
264,2.1391,0.5728
265,2.1114,0.5618
266,1.5615,0.3948
267,1.5412,0.3902
268,0.7106,0.1895
269,1.4036,0.3692
270,1.9164,0.5070
271,1.7185,0.4545
272,1.1855,0.3247
273,1.5295,0.4097
274,1.1803,0.3247
275,2.2737,0.6413
276,1.2478,0.3542
277,1.8909,0.5247
278,1.0004,0.3011
279,2.1799,0.6375
280,2.9590,0.9291
281,3.6992,1.1919
282,1.5393,0.4379
283,0.8924,0.2615
284,1.1577,0.3397
285,4.5356,1.6516
286,1.8328,0.4965
287,1.9588,0.5581
288,1.5780,0.4480
289,2.1576,0.6029
290,1.5631,0.4398
291,1.8789,0.5199
