Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
82,0.1015,0.0591,0.7488,0.1751,0.9239,1.5184,-0.0435
83,0.0955,0.0584,0.6339,0.2401,0.8741,1.3774,-0.0447
84,0.1003,0.0602,0.6448,0.2563,0.9010,1.3857,-0.0483
85,0.1051,0.0652,0.7492,0.1594,0.9086,1.5879,-0.0483
86,0.1015,0.0609,0.6307,0.2329,0.8636,1.3904,-0.0387
87,0.1063,0.0634,0.7256,0.1281,0.8537,1.6209,-0.0435
88,0.1027,0.0628,0.6393,0.1884,0.8277,1.4950,-0.0411
89,0.1076,0.0640,0.6063,0.1755,0.7817,1.5362,-0.0447
90,0.1027,0.0629,0.6335,0.2081,0.8416,1.4837,-0.0411
91,0.1051,0.0659,0.6509,0.2081,0.8590,1.4400,-0.0459
92,0.1039,0.0633,0.6181,0.1909,0.8091,1.4748,-0.0447
93,0.1027,0.0642,0.5658,0.2558,0.8216,1.3494,-0.0435
94,0.1063,0.0660,0.5812,0.2429,0.8241,1.3994,-0.0459
95,0.1063,0.0663,0.5723,0.2524,0.8248,1.3989,-0.0459
96,0.1112,0.0638,0.6643,0.1437,0.8081,1.6419,-0.0411
97,0.1076,0.0644,0.6192,0.1740,0.7932,1.5577,-0.0411
98,0.1076,0.0684,0.5706,0.2077,0.7783,1.4486,-0.0459
99,0.1124,0.0659,0.6365,0.1445,0.7810,1.6082,-0.0447
100,0.1088,0.0669,0.5851,0.1900,0.7751,1.5328,-0.0435
101,0.1076,0.0668,0.5988,0.1760,0.7748,1.5685,-0.0471
102,0.1088,0.0681,0.5536,0.2084,0.7620,1.4503,-0.0483
103,0.1063,0.0676,0.6017,0.1445,0.7462,1.6241,-0.0459
104,0.1100,0.0701,0.6141,0.1916,0.8057,1.5017,-0.0423
105,0.1148,0.0695,0.5567,0.2072,0.7639,1.4736,-0.0483
106,0.1148,0.0708,0.5879,0.1437,0.7316,1.6405,-0.0471
107,0.1100,0.0712,0.5822,0.1598,0.7419,1.6099,-0.0459
108,0.1076,0.0670,0.6036,0.1440,0.7476,1.6527,-0.0483
109,0.1112,0.0692,0.5236,0.2078,0.7314,1.4595,-0.0447
110,0.1112,0.0717,0.6002,0.1279,0.7282,1.6792,-0.0471
111,0.1160,0.0714,0.5223,0.2235,0.7458,1.4412,-0.0459
112,0.1148,0.0747,0.5255,0.2142,0.7397,1.4394,-0.0495
113,0.1136,0.0750,0.5681,0.1445,0.7126,1.6632,-0.0411
114,0.1112,0.0733,0.5901,0.1394,0.7294,1.7369,-0.0471
115,0.1196,0.0769,0.5245,0.1914,0.7159,1.5613,-0.0471
116,0.1112,0.0753,0.5115,0.1920,0.7035,1.5113,-0.0495
117,0.1196,0.0756,0.5672,0.1544,0.7216,1.6625,-0.0471
118,0.1160,0.0777,0.5282,0.1603,0.6885,1.6189,-0.0471
119,0.1124,0.0755,0.4707,0.1919,0.6627,1.5561,-0.0508
120,0.1221,0.0814,0.5079,0.2080,0.7160,1.5291,-0.0447
121,0.1196,0.0806,0.4760,0.2052,0.6812,1.4770,-0.0544
122,0.1269,0.0830,0.5512,0.1277,0.6789,1.7399,-0.0544
123,0.1160,0.0770,0.5127,0.2040,0.7167,1.4998,-0.0508
124,0.1184,0.0808,0.5875,0.1435,0.7310,1.7384,-0.0544
125,0.1160,0.0787,0.4709,0.1568,0.6277,1.6644,-0.0520
126,0.1184,0.0772,0.4416,0.1752,0.6168,1.5651,-0.0483
127,0.1233,0.0805,0.5027,0.1739,0.6766,1.5959,-0.0447
128,0.1184,0.0812,0.4506,0.1778,0.6284,1.6217,-0.0459
129,0.1160,0.0753,0.4625,0.2050,0.6675,1.4927,-0.0520
130,0.1160,0.0811,0.4955,0.1499,0.6454,1.6517,-0.0495
131,0.1221,0.0833,0.5431,0.1117,0.6548,1.7972,-0.0556
132,0.1172,0.0819,0.5118,0.1279,0.6397,1.7244,-0.0459
133,0.1245,0.0868,0.4868,0.1593,0.6462,1.6081,-0.0495
134,0.1233,0.0837,0.4626,0.1963,0.6589,1.5657,-0.0447
135,0.1221,0.0821,0.4707,0.1758,0.6466,1.5474,-0.0447
136,0.1269,0.0838,0.5076,0.1120,0.6196,1.7528,-0.0411
137,0.1208,0.0823,0.4639,0.1883,0.6521,1.6072,-0.0508
138,0.1257,0.0890,0.4772,0.1590,0.6362,1.6495,-0.0520
139,0.1208,0.0822,0.4948,0.1284,0.6232,1.7685,-0.0495
140,0.1245,0.0843,0.4922,0.1439,0.6361,1.7544,-0.0568
141,0.1293,0.0845,0.5402,0.1441,0.6843,1.7133,-0.0520
142,0.1245,0.0856,0.4766,0.1438,0.6204,1.6840,-0.0520
143,0.1233,0.0874,0.4604,0.1510,0.6113,1.6441,-0.0508
