Layer,Peak_Force_N,Work_of_Adhesion_mJ
1,0.6742,0.1877
2,0.1784,0.0460
3,0.1771,0.0482
4,0.1726,0.0471
5,0.1683,0.0488
6,0.1666,0.0476
7,0.1623,0.0449
8,0.1634,0.0440
9,0.1628,0.0423
10,0.1604,0.0405
11,0.1581,0.0397
12,0.1534,0.0374
13,0.1530,0.0360
14,0.1480,0.0341
15,0.1410,0.0316
