Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
82,0.2997,0.2327,0.2641,0.1213,0.3853,2.3449,-0.0556
83,0.4193,0.3516,0.3242,0.0937,0.4179,3.1142,-0.0725
84,0.3347,0.3112,0.3264,0.0630,0.3893,3.0233,-0.0628
85,0.3190,0.2875,0.2473,0.1255,0.3728,2.3763,-0.0653
86,0.4205,0.3502,0.3099,0.0930,0.4029,3.0294,-0.0616
87,0.4169,0.3463,0.3090,0.1087,0.4177,2.9146,-0.0580
88,0.4266,0.3839,0.3087,0.1087,0.4174,2.9519,-0.0616
89,0.3964,0.3305,0.3031,0.1249,0.4279,2.8899,-0.0701
90,0.3613,0.2879,0.3134,0.0902,0.4036,2.9718,-0.0653
91,0.4193,0.3370,0.3412,0.0768,0.4180,3.3435,-0.0653
92,0.4870,0.3855,0.3340,0.0953,0.4293,3.1583,-0.0689
93,0.4653,0.3430,0.3106,0.0941,0.4047,3.0262,-0.0677
94,0.3867,0.2483,0.2950,0.0954,0.3904,2.9488,-0.0665
95,0.3891,0.3152,0.3092,0.0945,0.4037,3.0428,-0.0604
96,0.5390,0.4664,0.3725,0.0618,0.4342,3.6534,-0.0532
97,0.3202,0.2771,0.2952,0.1090,0.4042,2.8746,-0.0701
98,0.3831,0.3082,0.3082,0.1096,0.4179,2.9898,-0.0568
99,0.4604,0.4257,0.2957,0.1234,0.4191,3.0210,-0.0725
100,0.3299,0.2621,0.2789,0.0488,0.3278,2.8798,-0.0761
101,0.4302,0.3823,0.2783,0.1250,0.4033,2.7201,-0.0701
102,0.3577,0.3103,0.3002,0.0872,0.3874,2.9160,-0.0773
103,0.4097,0.3119,0.3221,0.0614,0.3834,3.0531,-0.0665
104,0.3275,0.2498,0.2486,0.0947,0.3433,2.8456,-0.0713
105,0.4254,0.3177,0.3244,0.0924,0.4169,3.1434,-0.0580
106,0.4181,0.3567,0.3097,0.0628,0.3725,3.0786,-0.0483
107,0.5039,0.3422,0.3250,0.0623,0.3873,3.4428,-0.0495
108,0.4290,0.3678,0.3085,0.0949,0.4034,3.2509,-0.0665
109,0.5220,0.4670,0.3092,0.0920,0.4013,3.3685,-0.0749
110,0.4097,0.3903,0.2796,0.1076,0.3872,2.7820,-0.0544
111,0.5220,0.4568,0.3425,0.0930,0.4355,3.3610,-0.0701
112,0.4435,0.4045,0.3027,0.0874,0.3901,3.1238,-0.0785
113,0.4653,0.3526,0.3244,0.0614,0.3858,3.3338,-0.0447
114,0.3372,0.2727,0.2918,0.0934,0.3852,2.7888,-0.0628
115,0.3468,0.3061,0.2907,0.0928,0.3835,2.9150,-0.0520
116,0.4109,0.3311,0.2793,0.1080,0.3873,2.8936,-0.0532
117,0.5027,0.3745,0.3120,0.0626,0.3746,3.3989,-0.0725
118,0.3577,0.2937,0.2967,0.0616,0.3583,3.1750,-0.0592
119,0.3686,0.3168,0.3110,0.0928,0.4038,3.0303,-0.0677
120,0.3359,0.2690,0.2786,0.0926,0.3712,2.7394,-0.0628
121,0.3154,0.2800,0.2636,0.1265,0.3901,2.6041,-0.0761
122,0.4326,0.3349,0.3250,0.0622,0.3872,3.2531,-0.0749
123,0.4785,0.3964,0.3220,0.0918,0.4139,3.3542,-0.0677
124,0.3927,0.3767,0.3030,0.0936,0.3966,3.0496,-0.0628
125,0.4725,0.3753,0.3258,0.0622,0.3879,3.4392,-0.0556
126,0.5426,0.4351,0.3242,0.0616,0.3857,3.6610,-0.0713
127,0.4725,0.4506,0.3133,0.0920,0.4053,3.4326,-0.0532
128,0.3662,0.2896,0.2920,0.0950,0.3870,3.0140,-0.0616
129,0.3613,0.2840,0.2476,0.0929,0.3405,2.7372,-0.0689
130,0.6078,0.6534,0.3385,0.0930,0.4315,3.6720,-0.0749
131,0.4181,0.3174,0.3095,0.0835,0.3930,3.2698,-0.0580
