Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.2139,0.1544,0.9453,0.2299,1.1753,2.6749,-0.1293
2,0.0918,0.0659,0.7747,0.3278,1.1025,2.1728,-0.1233
3,0.0943,0.0719,0.7468,0.3100,1.0568,2.0977,-0.1233
4,0.0894,0.0667,0.7128,0.3081,1.0209,2.0500,-0.1148
5,0.0894,0.0649,0.6767,0.3573,1.0340,1.8668,-0.1148
6,0.0858,0.0627,0.7029,0.3056,1.0085,1.9723,-0.1027
7,0.0858,0.0598,0.6970,0.2824,0.9794,1.9825,-0.1015
8,0.0882,0.0596,0.7237,0.2803,1.0040,2.0165,-0.0979
9,0.0870,0.0614,0.7152,0.2942,1.0094,1.9544,-0.0846
10,0.0822,0.0574,0.6538,0.2498,0.9037,1.8058,-0.0785
11,0.0882,0.0578,0.6488,0.2477,0.8965,1.8148,-0.0761
12,0.0834,0.0607,0.5929,0.2480,0.8409,1.6747,-0.0713
13,0.0798,0.0528,0.6038,0.2781,0.8819,1.6226,-0.0689
14,0.0749,0.0455,0.6366,0.1544,0.7910,1.7303,-0.0628
15,0.0773,0.0474,0.6688,0.1715,0.8403,1.8038,-0.0628
16,0.0713,0.0475,0.5529,0.2313,0.7842,1.4006,-0.0580
17,0.0737,0.0413,0.5120,0.2181,0.7301,1.3643,-0.0520
18,0.0749,0.0427,0.5454,0.2006,0.7459,1.4683,-0.0532
19,0.0749,0.0390,0.6016,0.1247,0.7263,1.6024,-0.0447
20,0.0713,0.0417,0.6138,0.1236,0.7374,1.6717,-0.0435
21,0.0737,0.0411,0.5624,0.1705,0.7329,1.5283,-0.0399
22,0.0737,0.0412,0.6058,0.1230,0.7288,1.5307,-0.0399
23,0.0725,0.0342,0.5425,0.1238,0.6663,1.4510,-0.0350
24,0.0665,0.0335,0.4943,0.1242,0.6185,1.3300,-0.0290
25,0.0689,0.0341,0.5144,0.0922,0.6066,1.4129,-0.0278
26,0.0665,0.0291,0.4812,0.1240,0.6052,1.1788,-0.0266
27,0.0544,0.0261,0.4165,0.1238,0.5403,1.0759,-0.0290
28,0.0435,0.0213,0.2862,0.2101,0.4963,0.7414,-0.0254
29,0.0375,0.0159,0.3104,0.1845,0.4949,0.7636,-0.0266
30,0.0290,0.0146,0.2980,0.1247,0.4227,0.7276,-0.0205
31,0.0266,0.0131,0.2939,0.0933,0.3872,0.7192,-0.0242
32,0.0218,0.0114,0.2790,0.0633,0.3423,0.7160,-0.0193
33,0.0230,0.0100,0.2776,0.1226,0.4002,0.6158,-0.0205
34,0.0193,0.0117,0.2472,0.1697,0.4169,0.5786,-0.0218
35,0.0193,0.0084,0.2171,0.0643,0.2814,0.5399,-0.0181
36,0.0145,0.0088,0.1852,0.0929,0.2781,0.3944,-0.0205
37,0.0145,0.0100,0.1478,0.0453,0.1931,0.1001,-0.0181
38,0.0121,0.0069,0.0821,0.0569,0.1391,0.1198,-0.0205
39,0.0157,0.0068,0.1850,0.0322,0.2172,0.4156,-0.0193
40,0.0169,0.0082,0.0974,0.0564,0.1539,0.1162,-0.0242
41,0.0121,0.0059,0.1233,0.0308,0.1541,0.1940,-0.0181
42,0.0085,0.0056,0.3203,0.0000,0.3203,0.7831,-0.0169
43,0.0109,0.0052,0.0937,0.0302,0.1239,0.1507,-0.0145
44,0.0157,0.0050,0.0941,0.0632,0.1573,0.1295,-0.0205
45,0.0121,0.0054,0.0917,0.0310,0.1227,0.0967,-0.0205
46,0.0121,0.0052,0.0955,0.0439,0.1394,0.1229,-0.0157
47,0.0145,0.0052,0.1024,0.0253,0.1277,0.1285,-0.0181
48,0.0145,0.0043,0.1256,0.0307,0.1563,0.2008,-0.0157
49,0.0121,0.0040,0.0630,0.0623,0.1253,0.0733,-0.0193
50,0.0157,0.0045,0.1073,0.0265,0.1339,0.1363,-0.0218
51,0.0133,0.0043,0.1864,0.0307,0.2171,0.2147,-0.0181
52,0.0181,0.0053,0.0924,0.0308,0.1232,0.0980,-0.0157
53,0.0157,0.0045,0.1573,0.0298,0.1870,0.1378,-0.0169
54,0.0085,0.0045,4.5451,0.0000,4.5451,0.0500,-0.0205
55,0.0181,0.0043,0.1212,0.0347,0.1559,0.1978,-0.0242
56,0.0169,0.0046,0.1229,0.0315,0.1544,0.1864,-0.0205
57,0.0145,0.0034,0.1194,0.0333,0.1527,0.1760,-0.0230
58,0.0060,0.0045,0.1858,0.0000,0.1858,0.3449,-0.0169
59,0.0169,0.0038,0.1060,0.0309,0.1369,0.1384,-0.0205
60,0.0109,0.0033,0.1154,0.0376,0.1531,0.1667,-0.0145
61,0.0133,0.0040,4.5507,0.0352,4.5858,0.0500,-0.0181
62,0.0169,0.0042,0.1318,0.0303,0.1621,0.1333,-0.0157
63,0.0169,0.0038,0.0847,0.0248,0.1095,0.1291,-0.0169
64,0.0169,0.0034,0.0887,0.0358,0.1246,0.1234,-0.0218
65,0.0060,0.0028,1.1504,0.0000,1.1504,3.4511,-0.0218
66,0.0145,0.0019,4.4489,0.0470,4.4959,0.0129,-0.0181
67,0.0109,0.0025,4.5676,0.0250,4.5926,0.0500,-0.0157
68,0.0181,0.0035,0.1082,0.0308,0.1390,0.1405,-0.0193
69,0.0169,0.0047,0.1530,0.0644,0.2174,0.1046,-0.0133
70,0.0169,0.0030,0.0929,0.0310,0.1239,0.0946,-0.0181
71,0.0169,0.0034,0.0941,0.0301,0.1241,0.1067,-0.0169
72,0.0085,0.0019,0.0569,0.0000,0.0569,0.1460,-0.0181
73,0.0133,0.0021,4.4590,0.0314,4.4904,0.0500,-0.0169
74,0.0193,0.0026,0.1234,0.0313,0.1547,0.2215,-0.0121
75,0.0121,0.0018,4.4868,0.0260,4.5128,0.0500,-0.0181
76,0.0085,0.0018,0.1223,0.0000,0.1223,0.1709,-0.0218
77,0.0157,0.0031,4.5519,0.0309,4.5828,0.0500,-0.0193
78,0.0145,0.0028,0.0929,0.0232,0.1161,0.1316,-0.0181
79,0.0121,0.0016,4.5738,0.0458,4.6196,0.0500,-0.0193
