Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,0.9343,0.8384,3.2857,0.7450,4.0307,3.6309,-0.1120
2,0.1096,0.1102,2.2002,1.2054,3.4056,1.7513,-0.0977
3,0.0950,0.0942,1.7965,1.5169,3.3133,1.1915,-0.0846
4,0.1322,0.1089,2.1080,1.2378,3.3458,1.6308,-0.0769
5,0.1317,0.1136,2.1958,1.2046,3.4004,1.7394,-0.0704
6,0.1617,0.1209,2.0712,1.2711,3.3423,1.5757,-0.0645
7,0.1446,0.1148,2.1119,1.2729,3.3848,1.6307,-0.0595
8,0.1569,0.1106,1.9872,1.5167,3.5038,1.4407,-0.0546
9,0.1470,0.1100,1.9589,1.3046,3.2635,1.4136,-0.0498
10,0.1300,0.0881,1.8350,1.4867,3.3216,1.2138,-0.0455
11,0.0990,0.0717,1.6151,1.7332,3.3482,0.9222,-0.0415
12,0.0877,0.0628,1.4943,2.0159,3.5102,0.8065,-0.0384
13,0.0720,0.0542,1.4551,1.9557,3.4109,0.7598,-0.0352
14,0.0497,0.0438,1.1756,2.2767,3.4523,0.4708,-0.0328
15,0.0347,0.0399,1.2406,2.2590,3.4996,0.5264,-0.0308
16,0.0263,0.0374,1.2104,2.2617,3.4721,0.5261,-0.0287
17,0.0217,0.0355,1.2983,2.0484,3.3468,0.6001,-0.0266
18,0.0193,0.0344,1.2664,2.2316,3.4980,0.5616,-0.0252
