Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
1,1.1736,0.6227,30.8896,85.4822,116.3718,1.5409,-0.0994
2,0.1970,0.2416,20.2363,95.7923,116.0286,1.0086,-0.0780
3,0.1832,0.2367,18.7963,97.9798,116.7761,0.9370,-0.0590
4,0.1700,0.2323,17.3935,100.2347,117.6282,0.8661,-0.0415
5,0.1860,0.2414,12.3211,66.2423,78.5634,0.9180,-0.0411
6,0.1642,0.2348,11.1058,67.9907,79.0965,0.8255,-0.0264
7,0.1525,0.2316,9.6341,70.2942,79.9283,0.7151,-0.0140
8,0.1587,0.2366,7.3411,52.7767,60.1177,0.7240,-0.0122
9,0.1453,0.2321,6.7109,53.9643,60.6752,0.6592,-0.0026
10,0.1352,0.2282,6.0031,55.2629,61.2660,0.5876,0.0000
11,0.1370,0.2306,4.6976,NaN,NaN,0.5698,0.0000
12,0.1266,0.2254,4.3777,NaN,NaN,0.5301,0.0000
13,0.1274,0.2269,3.5324,NaN,NaN,0.5095,0.0000
14,0.1251,0.2263,3.1687,NaN,NaN,0.5251,0.0000
15,0.1236,0.2264,2.6991,NaN,NaN,0.5029,0.0000
16,0.1163,0.2225,2.3905,NaN,NaN,0.4447,0.0000
17,0.1104,0.2193,2.2371,NaN,NaN,0.4111,0.0000
18,0.1051,0.2167,2.0541,NaN,NaN,0.3773,0.0000
19,0.1002,0.2142,1.9184,NaN,NaN,0.3514,0.0000
20,0.0962,0.2124,2.0197,NaN,NaN,0.3676,0.0000
21,0.0929,0.2109,1.8030,NaN,NaN,0.3247,0.0000
22,0.0899,0.2094,1.7147,NaN,NaN,0.3041,0.0000
23,0.0872,0.2083,1.6419,NaN,NaN,0.2941,0.0000
24,0.0849,0.2075,1.5202,NaN,NaN,0.2715,0.0000
25,0.0830,0.2069,1.6156,NaN,NaN,0.2860,0.0000
26,0.0812,0.2065,1.3937,NaN,NaN,0.2432,0.0000
27,0.0798,0.2061,1.4317,NaN,NaN,0.2483,0.0000
28,0.0784,0.2060,1.4605,NaN,NaN,0.2554,0.0000
29,0.0772,0.2058,1.4619,NaN,NaN,0.2582,0.0000
30,0.0760,0.2056,1.2143,NaN,NaN,0.2085,0.0000
31,0.0751,0.2055,1.3396,NaN,NaN,0.2339,0.0000
32,0.0750,0.2056,15.2491,NaN,NaN,3.0131,0.0000
33,0.0750,0.2055,15.3719,NaN,NaN,3.0376,0.0000
34,0.0749,0.2055,15.2777,NaN,NaN,3.0189,0.0000
35,0.0750,0.2056,15.4438,NaN,NaN,3.0439,0.0000
36,0.0748,0.2056,15.2872,NaN,NaN,3.0195,0.0000
37,0.0750,0.2057,15.3811,NaN,NaN,3.0386,0.0000
38,0.0748,0.2058,15.3175,NaN,NaN,3.0296,0.0000
39,0.0748,0.2060,15.4265,NaN,NaN,3.0428,0.0000
